2,Busch hopes to draw new fans,"For anyone unhappy that Kurt Busch is the new Nextel Cup champion, Jack Roush has some advice: Get used to it. Busch has built a reputation during his four years in NASCAR #39;s top series as a driver who would "
2,Group B: Real breeze through behind Bayer,"Real knew they had to win against the Italians to be assured of a place in the next round and went ahead in the ninth minute when after a lengthy passing move, Zinedine Zidane put in Ronaldo and the Brazilian lifted the ball past the advancing Roma keeper "
1,"Nineteen Dead, 17 Injured In Turkish Mine Tunnel Fire","ANKARA, Sept 8 (AFP) - A huge fire swept through a copper mine in northern Turkey on Wednesday, killing at least 19 workers and injuring a further 17, a local official there said."
2,UPSET WIN IS  #39;TALK #39; OF TRACK,"In one of the biggest upsets -nd most controversial finishes  -the year, a 27-1 betting orphan named Better Talk Now won the \$2 million Breeders #39; Cup Turf "
4,Question about file-name color has a black-and-white answer,Q: Any idea why when I open folders in Excel or Word some of the file names are in blue and others are in black? Is it a function of when they were created or in what version of Office they were saved?
2,Sharapova Tops Venus in Swisscom Challenge (AP),"AP - Wimbledon champion Maria Sharapova needed just more than an hour to defeat Venus Williams 6-3, 6-4 in the quarterfinals of the Swisscom Challenge on Friday."
3,SEC Is Seen Banning Mutual Fund Practice,The Securities and Exchange Commission is poised to curb fund companies from steering stock trades to brokerage firms that agree to sell their funds. 
3,Cendant Near Deal to Buy Orbitz," PHILADELPHIA (Reuters) - Travel and real estate heavyweight  Cendant Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=CD.N target=/stocks/quickinfo/fullquote""&gt;CD.N&lt;/A&gt; is nearing a deal to buy online travel  site Orbitz Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ORBZ.O target=/stocks/quickinfo/fullquote""&gt;ORBZ.O&lt;/A&gt;, which is controlled by the top five  U.S. airlines, for about \$1.2 billion in cash, a source close  to the talks said on Tuesday."
3,"Stocks higher after drop in oil prices, reassuring words on &lt;b&gt;...&lt;/b&gt;","TORONTO (CP) - Stock markets moved higher Monday as investors showed growing optimism about the US economy. Lower oil prices also helped take indexes higher, with the price of crude slipping 49 cents from Friday #39;s record close to \$49."
4,IBM protects passwords with PC chip,IBM plans to start shipping its PCs with a new chip designed to thwart hackers by safeguarding passwords and other sensitive identity information.
