Unnamed: 0,trial_order_number,num_of_classes,noise_type(t),noise_ratio(alpha),noise_proportion_corrected(beta),machine_learning_model(f),dataset_size_proprotion(s),dataset_size,classes_info,accuracy_before_correction(acc_0),accuracy_after_correction(acc_beta),"R(beta, 0)","D(beta, 0)",num_of_corrected_noise,"B/C_ratio_D(beta,0)","B/C_ratio_R(beta,0)","B/C_ratio_D(beta,0)_correctedAmount","B/C_ratio_R(beta,0)_correctedAmount"
900,0,4,NCAR,0.05,10.0%,lstm,100%,12000,4cls,0.8065,0.8195,0.067183463,0.013,60.000000000000014,0.1299999999999999,0.67183463,0.0002166666666666,0.0011197243833333
901,0,4,NCAR,0.05,20.0%,lstm,100%,12000,4cls,0.8065,0.815,0.043927649,0.0085,120.00000000000004,0.0425,0.2196382449999999,7.083333333333332e-05,0.0003660637416666
902,0,4,NCAR,0.05,30.0%,lstm,100%,12000,4cls,0.8065,0.8275,0.108527132,0.021,180.0,0.07,0.3617571066666666,0.0001166666666666,0.0006029285111111
903,0,4,NCAR,0.05,40.0%,lstm,100%,12000,4cls,0.8065,0.809,0.012919897,0.0025,240.00000000000009,0.0062499999999999,0.0322997425,1.0416666666666665e-05,5.383290416666665e-05
904,0,4,NCAR,0.05,50.0%,lstm,100%,12000,4cls,0.8065,0.8235,0.087855297,0.017,300.0,0.034,0.175710594,5.666666666666667e-05,0.00029285099
905,0,4,NCAR,0.05,60.0%,lstm,100%,12000,4cls,0.8065,0.811,0.023255814,0.0045,360.0,0.0075,0.03875969,1.25e-05,6.459948333333333e-05
906,0,4,NCAR,0.05,70.0%,lstm,100%,12000,4cls,0.8065,0.8065,0.0,0.0,420.00000000000006,0.0,0.0,0.0,0.0
907,0,4,NCAR,0.05,80.0%,lstm,100%,12000,4cls,0.8065,0.8385,0.165374677,0.032,480.0000000000001,0.04,0.20671834625,6.666666666666666e-05,0.0003445305770833
908,0,4,NCAR,0.05,90.0%,lstm,100%,12000,4cls,0.8065,0.8465,0.206718346,0.04,540.0000000000001,0.0444444444444444,0.2296870511111111,7.407407407407406e-05,0.0003828117518518
909,0,4,NCAR,0.05,100.0%,lstm,100%,12000,4cls,0.8065,0.8525,0.237726098,0.046,600.0,0.046,0.237726098,7.666666666666667e-05,0.0003962101633333
910,1,4,NCAR,0.05,10.0%,lstm,100%,12000,4cls,0.801,0.8125,0.057788945,0.0115,60.000000000000014,0.1149999999999999,0.57788945,0.0001916666666666,0.0009631490833333
911,1,4,NCAR,0.05,20.0%,lstm,100%,12000,4cls,0.801,0.8125,0.057788945,0.0115,120.00000000000004,0.0574999999999999,0.288944725,9.583333333333332e-05,0.0004815745416666
912,1,4,NCAR,0.05,30.0%,lstm,100%,12000,4cls,0.801,0.7975,-0.01758794,-0.0035,180.0,-0.0116666666666666,-0.0586264666666666,-1.9444444444444445e-05,-9.771077777777778e-05
913,1,4,NCAR,0.05,40.0%,lstm,100%,12000,4cls,0.801,0.7975,-0.01758794,-0.0035,240.00000000000009,-0.0087499999999999,-0.04396985,-1.458333333333333e-05,-7.328308333333331e-05
914,1,4,NCAR,0.05,50.0%,lstm,100%,12000,4cls,0.801,0.8255,0.123115578,0.0245,300.0,0.049,0.246231156,8.166666666666667e-05,0.00041038526
915,1,4,NCAR,0.05,60.0%,lstm,100%,12000,4cls,0.801,0.848,0.236180905,0.047,360.0,0.0783333333333333,0.3936348416666667,0.0001305555555555,0.0006560580694444
916,1,4,NCAR,0.05,70.0%,lstm,100%,12000,4cls,0.801,0.8175,0.082914573,0.0165,420.00000000000006,0.0235714285714285,0.11844939,3.928571428571428e-05,0.00019741565
917,1,4,NCAR,0.05,80.0%,lstm,100%,12000,4cls,0.801,0.8465,0.228643216,0.0455,480.0000000000001,0.0568749999999999,0.28580402,9.479166666666664e-05,0.0004763400333333
