Unnamed: 0,trial_order_number,num_of_classes,noise_type(t),noise_ratio(alpha),noise_proportion_corrected(beta),machine_learning_model(f),dataset_size_proprotion(s),dataset_size,classes_info,accuracy_before_correction(acc_0),accuracy_after_correction(acc_beta),"R(beta, 0)","D(beta, 0)",num_of_corrected_noise,"B/C_ratio_D(beta,0)","B/C_ratio_R(beta,0)","B/C_ratio_D(beta,0)_correctedAmount","B/C_ratio_R(beta,0)_correctedAmount"
900,0,10,NCAR,0.05,10.0%,cnn,100%,60000.0,10cls,0.9063,0.9065,0.0021344717182494,0.0001999999999999,300.00000000000006,0.001999999999999,0.0213447171824939,6.666666666663332e-07,7.114905727497998e-06
901,0,10,NCAR,0.05,20.0%,cnn,100%,60000.0,10cls,0.9063,0.9054,-0.0096051227321239,-0.0009,600.0000000000001,-0.0045,-0.0480256136606195,-1.4999999999999996e-06,-1.6008537886873164e-05
902,0,10,NCAR,0.05,30.0%,cnn,100%,60000.0,10cls,0.9063,0.9066,0.0032017075773742,0.0002999999999999,900.0,0.0009999999999996,0.0106723585912473,3.333333333332223e-07,3.557452863749111e-06
903,0,10,NCAR,0.05,40.0%,cnn,100%,60000.0,10cls,0.9063,0.9091,0.0298826040554965,0.0028,1200.0000000000002,0.0069999999999999,0.0747065101387412,2.3333333333333327e-06,2.490217004624708e-05
904,0,10,NCAR,0.05,50.0%,cnn,100%,60000.0,10cls,0.9063,0.909,0.0288153681963717,0.0027,1500.0,0.0054,0.0576307363927434,1.8e-06,1.92102454642478e-05
905,0,10,NCAR,0.05,60.0%,cnn,100%,60000.0,10cls,0.9063,0.9123,0.064034151547492,0.006,1800.0,0.01,0.1067235859124866,3.3333333333333333e-06,3.557452863749555e-05
906,0,10,NCAR,0.05,70.0%,cnn,100%,60000.0,10cls,0.9063,0.9105,0.0448239060832442,0.0041999999999999,2100.0,0.0059999999999998,0.0640341515474917,1.9999999999999525e-06,2.134471718249724e-05
907,0,10,NCAR,0.05,80.0%,cnn,100%,60000.0,10cls,0.9063,0.9131,0.0725720384204912,0.0068,2400.0000000000005,0.0084999999999999,0.090715048025614,2.8333333333333326e-06,3.023834934187133e-05
908,0,10,NCAR,0.05,90.0%,cnn,100%,60000.0,10cls,0.9063,0.9089,0.027748132337247,0.0026,2700.0000000000005,0.0028888888888888,0.0308312581524966,9.629629629629628e-07,1.027708605083222e-05
909,0,10,NCAR,0.05,100.0%,cnn,100%,60000.0,10cls,0.9063,0.9138,0.0800426894343644,0.0074999999999999,3000.0,0.0074999999999999,0.0800426894343644,2.4999999999999667e-06,2.668089647812147e-05
910,1,10,NCAR,0.05,10.0%,cnn,100%,60000.0,10cls,0.9036,0.9077,0.0425311203319501,0.0040999999999999,300.00000000000006,0.0409999999999989,0.4253112033195009,1.366666666666633e-05,0.0001417704011065
911,1,10,NCAR,0.05,20.0%,cnn,100%,60000.0,10cls,0.9036,0.9064,0.0290456431535272,0.0028,600.0000000000001,0.0139999999999999,0.145228215767636,4.6666666666666655e-06,4.8409405255878656e-05
912,1,10,NCAR,0.05,30.0%,cnn,100%,60000.0,10cls,0.9036,0.9079,0.0446058091286315,0.0043,900.0,0.0143333333333333,0.1486860304287716,4.777777777777777e-06,4.9562010142923886e-05
913,1,10,NCAR,0.05,40.0%,cnn,100%,60000.0,10cls,0.9036,0.9097,0.0632780082987551,0.0060999999999999,1200.0000000000002,0.0152499999999997,0.1581950207468877,5.083333333333249e-06,5.273167358229591e-05
914,1,10,NCAR,0.05,50.0%,cnn,100%,60000.0,10cls,0.9036,0.9038,0.0020746887966814,0.0002,1500.0,0.0004,0.0041493775933628,1.3333333333333336e-07,1.383125864454267e-06
915,1,10,NCAR,0.05,60.0%,cnn,100%,60000.0,10cls,0.9036,0.9121,0.0881742738589217,0.0085,1800.0,0.0141666666666666,0.1469571230982028,4.722222222222222e-06,4.898570769940094e-05
916,1,10,NCAR,0.05,70.0%,cnn,100%,60000.0,10cls,0.9036,0.9127,0.0943983402489625,0.0090999999999999,2100.0,0.0129999999999998,0.1348547717842321,4.333333333333286e-06,4.4951590594744046e-05
917,1,10,NCAR,0.05,80.0%,cnn,100%,60000.0,10cls,0.9036,0.9114,0.0809128630705396,0.0078,2400.0000000000005,0.0097499999999999,0.1011410788381745,3.25e-06,3.371369294605816e-05
918,1,10,NCAR,0.05,90.0%,cnn,100%,60000.0,10cls,0.9036,0.9144,0.1120331950207471,0.0108,2700.0000000000005,0.012,0.1244813278008301,4e-06,4.149377593361003e-05
919,1,10,NCAR,0.05,100.0%,cnn,100%,60000.0,10cls,0.9036,0.9159,0.1275933609958514,0.0123,3000.0,0.0123,0.1275933609958514,4.1e-06,4.253112033195046e-05
920,2,10,NCAR,0.05,10.0%,cnn,100%,60000.0,10cls,0.907,0.9081,0.0118279569892472,0.0010999999999999,300.00000000000006,0.010999999999999,0.118279569892472,3.666666666666333e-06,3.942652329749066e-05
921,2,10,NCAR,0.05,20.0%,cnn,100%,60000.0,10cls,0.907,0.9061,-0.0096774193548388,-0.0009,600.0000000000001,-0.0045,-0.048387096774194,-1.4999999999999996e-06,-1.6129032258064662e-05
922,2,10,NCAR,0.05,30.0%,cnn,100%,60000.0,10cls,0.907,0.9086,0.0172043010752681,0.0015999999999999,900.0,0.005333333333333,0.0573476702508936,1.7777777777776666e-06,1.9115890083631222e-05
