,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
0,10.0%,0.05,NCAR,0.002077777777777778,0.007332833908844448
1,10.0%,0.05,NNAR,0.004361111111111111,0.012312851027869732
2,10.0%,0.1,NCAR,0.0026666666666666666,0.009425390645846762
3,10.0%,0.1,NNAR,0.0033499999999999997,0.00993525127397868
4,10.0%,0.15,NCAR,0.0046611111111111115,0.010989158643730764
5,10.0%,0.15,NNAR,0.006427777777777778,0.013159541244298651
6,10.0%,0.2,NCAR,0.005388888888888888,0.014052729466635501
7,10.0%,0.2,NNAR,0.006611111111111112,0.014481500002898667
8,10.0%,0.25,NCAR,0.008916666666666668,0.014772719459309573
9,10.0%,0.25,NNAR,0.010044444444444443,0.015040660801416441
10,10.0%,0.3,NCAR,0.013544444444444446,0.016039170704757078
11,10.0%,0.3,NNAR,0.01731111111111111,0.01892156373499636
12,10.0%,0.35,NCAR,0.019516666666666672,0.017711680645407884
13,10.0%,0.35,NNAR,0.03022222222222222,0.021245191517891896
14,10.0%,0.4,NCAR,0.03535555555555556,0.01964961859331672
15,10.0%,0.4,NNAR,0.06763333333333335,0.04036092750760001
16,10.0%,0.45,NCAR,0.0825,0.040337611543421026
17,10.0%,0.45,NNAR,0.12376666666666666,0.07422132838067626
18,10.0%,0.5,NCAR,0.18483333333333332,0.11033982551632057
19,10.0%,0.5,NNAR,0.16547777777777778,0.10228771206614644
20,10.0%,0.55,NCAR,0.2029277777777778,0.11798792810873358
21,10.0%,0.55,NNAR,0.14115,0.0854160684450142
22,10.0%,0.6,NCAR,0.12493888888888888,0.06818125398822304
23,10.0%,0.6,NNAR,0.08574999999999999,0.03828675617395684
24,10.0%,0.65,NCAR,0.061644444444444446,0.02385140737499249
25,10.0%,0.65,NNAR,0.0514,0.024614480000567228
26,100.0%,0.05,NCAR,0.017544444444444446,0.021772136932717654
27,100.0%,0.05,NNAR,0.017105555555555558,0.024715701300005354
28,100.0%,0.1,NCAR,0.032683333333333335,0.043661915317150385
29,100.0%,0.1,NNAR,0.03326111111111111,0.042364257609226214
30,100.0%,0.15,NCAR,0.048044444444444445,0.06370259304003904
31,100.0%,0.15,NNAR,0.05252777777777778,0.06583706233693182
32,100.0%,0.2,NCAR,0.0657611111111111,0.08458035509521274
33,100.0%,0.2,NNAR,0.06661666666666667,0.07997801897742324
34,100.0%,0.25,NCAR,0.0822,0.09839666615599599
35,100.0%,0.25,NNAR,0.08598333333333333,0.09978924579041067
36,100.0%,0.3,NCAR,0.10958888888888889,0.11930500740561825
37,100.0%,0.3,NNAR,0.11728888888888887,0.11335431616472283
38,100.0%,0.35,NCAR,0.13118333333333335,0.1314344782278954
39,100.0%,0.35,NNAR,0.1560833333333333,0.11960399626177927
40,100.0%,0.4,NCAR,0.17601666666666663,0.14037039888338837
41,100.0%,0.4,NNAR,0.24887222222222224,0.1113836808682009
42,100.0%,0.45,NCAR,0.25714444444444445,0.1107606570643246
43,100.0%,0.45,NNAR,0.38126666666666675,0.06295228307324587
44,100.0%,0.5,NCAR,0.45050555555555544,0.0302314160510124
45,100.0%,0.5,NNAR,0.5286777777777778,0.11037334588145664
46,100.0%,0.55,NCAR,0.6395388888888889,0.121896254262499
47,100.0%,0.55,NNAR,0.6624444444444445,0.1185883553037823
48,100.0%,0.6,NCAR,0.7106388888888888,0.1441934130903586
49,100.0%,0.6,NNAR,0.727688888888889,0.13846142955212787
50,100.0%,0.65,NCAR,0.7585,0.140372151020503
51,100.0%,0.65,NNAR,0.7628055555555554,0.13038165280421088
52,20.0%,0.05,NCAR,0.004138888888888889,0.008381786511672207
53,20.0%,0.05,NNAR,0.0053055555555555555,0.011603841216362364
54,20.0%,0.1,NCAR,0.0056388888888888895,0.012152551696043738
55,20.0%,0.1,NNAR,0.005450000000000001,0.011119098773817032
56,20.0%,0.15,NCAR,0.00925,0.016730821589552993
57,20.0%,0.15,NNAR,0.011111111111111113,0.016723478591151506
58,20.0%,0.2,NCAR,0.012961111111111109,0.020910119944107703
59,20.0%,0.2,NNAR,0.014361111111111111,0.018231216365212254
60,20.0%,0.25,NCAR,0.017783333333333335,0.02209938824705007
61,20.0%,0.25,NNAR,0.02029444444444445,0.02272908141891648
62,20.0%,0.3,NCAR,0.02425,0.024099624466811527
63,20.0%,0.3,NNAR,0.03331666666666667,0.026794370083217566
