,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
0,10.0%,0.05,NCAR,0.021271397016666665,0.08953074744432105
1,10.0%,0.05,NNAR,0.041476473122222225,0.1460366196245695
2,10.0%,0.1,NCAR,0.011691543966666666,0.09846311046782155
3,10.0%,0.1,NNAR,0.02330871171666667,0.112260268312861
4,10.0%,0.15,NCAR,0.029822551438888886,0.10472197778906513
5,10.0%,0.15,NNAR,0.027948358566666668,0.10644257508615304
6,10.0%,0.2,NCAR,0.027069813538888893,0.11674468427043132
7,10.0%,0.2,NNAR,0.04638886338333333,0.09621672936771858
8,10.0%,0.25,NCAR,0.053428175272222225,0.08277326592021328
9,10.0%,0.25,NNAR,0.059882029872222214,0.10942249343115211
10,10.0%,0.3,NCAR,0.0864735867,0.09815645122201741
11,10.0%,0.3,NNAR,0.10749902045,0.11914042829005511
12,10.0%,0.35,NCAR,0.12137943662777777,0.11457633206049121
13,10.0%,0.35,NNAR,0.1927598139666666,0.1389236812733652
14,10.0%,0.4,NCAR,0.20010318571111113,0.14695245271845653
15,10.0%,0.4,NNAR,0.26043724570000004,0.1698054931590907
16,10.0%,0.45,NCAR,0.31982638846666667,0.19190681696735357
17,10.0%,0.45,NNAR,0.29483660542777784,0.18026976937433958
18,10.0%,0.5,NCAR,0.36363210541111113,0.21690523171711787
19,10.0%,0.5,NNAR,0.26929660045,0.1491935585382502
20,10.0%,0.55,NCAR,0.27117331837222225,0.1371382135630426
21,10.0%,0.55,NNAR,0.18707908593888886,0.10071608268207334
22,10.0%,0.6,NCAR,0.15421632702777777,0.06886639459116235
23,10.0%,0.6,NNAR,0.10815316039444443,0.041193162388811204
24,10.0%,0.65,NCAR,0.07726716312222223,0.031310033824156744
25,10.0%,0.65,NNAR,0.06593422398333332,0.03642654965423039
26,100.0%,0.05,NCAR,0.20300268462222226,0.24154125744839106
27,100.0%,0.05,NNAR,0.19730652241666669,0.23422824070830886
28,100.0%,0.1,NCAR,0.2537279345111111,0.3173985678369539
29,100.0%,0.1,NNAR,0.2680779686333334,0.3130042543867226
30,100.0%,0.15,NCAR,0.29631806809444444,0.3337898522199157
31,100.0%,0.15,NNAR,0.30815866308333334,0.341950772447573
32,100.0%,0.2,NCAR,0.33442850204444446,0.3377038264096373
33,100.0%,0.2,NNAR,0.38050117755,0.31195501587840724
34,100.0%,0.25,NCAR,0.4197761874444445,0.306544986136023
35,100.0%,0.25,NNAR,0.43527341084444443,0.30031893345362837
36,100.0%,0.3,NCAR,0.5147317010166668,0.25948748978616876
37,100.0%,0.3,NNAR,0.5629393391777778,0.24116148420961994
38,100.0%,0.35,NCAR,0.58450058215,0.23365842780955892
39,100.0%,0.35,NNAR,0.6766633584722223,0.18981513682266107
40,100.0%,0.4,NCAR,0.6988552241833332,0.15723680282945104
41,100.0%,0.4,NNAR,0.7956861406944444,0.1287642649526009
42,100.0%,0.45,NCAR,0.8115934997944445,0.10356841238180771
43,100.0%,0.45,NNAR,0.8755226030277776,0.06323135654521637
44,100.0%,0.5,NCAR,0.8919926054833331,0.06288323131573283
45,100.0%,0.5,NNAR,0.8998419792000001,0.0642180550545567
46,100.0%,0.55,NCAR,0.9181528149166667,0.052396211121164604
47,100.0%,0.55,NNAR,0.9214027514888888,0.04968390467710029
48,100.0%,0.6,NCAR,0.9243543098944446,0.05015928773132347
49,100.0%,0.6,NNAR,0.9269326394444445,0.0477614273929812
50,100.0%,0.65,NCAR,0.929020878411111,0.046244471860319006
51,100.0%,0.65,NNAR,0.9299522402888888,0.04547430057479367
52,20.0%,0.05,NCAR,0.04492270881111111,0.1024461723676726
53,20.0%,0.05,NNAR,0.060028349188888885,0.12687585129796444
54,20.0%,0.1,NCAR,0.03192962032777778,0.11616986490798764
55,20.0%,0.1,NNAR,0.04034983134444444,0.11550661348932267
56,20.0%,0.15,NCAR,0.05540834230555555,0.11291381958681801
57,20.0%,0.15,NNAR,0.062198154627777766,0.1271444848877418
58,20.0%,0.2,NCAR,0.06654454591666667,0.11898787417546405
59,20.0%,0.2,NNAR,0.09573207671111111,0.09910354273876353
60,20.0%,0.25,NCAR,0.10496569719999999,0.08484525959443191
61,20.0%,0.25,NNAR,0.12175677961111112,0.09667688442541679
62,20.0%,0.3,NCAR,0.14097616751111114,0.1030540087942915
63,20.0%,0.3,NNAR,0.20831199209444445,0.12145784933192243
64,20.0%,0.35,NCAR,0.20958041367222222,0.1047997908679503
65,20.0%,0.35,NNAR,0.30835472913333334,0.1589674965461415
