,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
0,10.0%,0.05,NAR,0.0027000000000000006,0.00922010546727022
1,10.0%,0.05,NCAR,0.0027500000000000003,0.007426362640550589
2,10.0%,0.05,NNAR,0.0021499999999999996,0.014144665132979921
3,10.0%,0.1,NAR,0.0027166666666666663,0.01495088703015663
4,10.0%,0.1,NCAR,0.0035333333333333336,0.01077507767260054
5,10.0%,0.1,NNAR,0.0017999999999999997,0.011329394176821333
6,10.0%,0.15,NAR,0.007733333333333334,0.017125668037981073
7,10.0%,0.15,NCAR,0.0038833333333333333,0.010316277173120334
8,10.0%,0.15,NNAR,0.0021500000000000004,0.011608669471414531
9,10.0%,0.2,NAR,0.006533333333333335,0.008287852903323421
10,10.0%,0.2,NCAR,0.006500000000000002,0.008734592345855406
11,10.0%,0.2,NNAR,0.0064,0.01283744522870497
12,10.0%,0.25,NAR,0.008150000000000001,0.01222571484406028
13,10.0%,0.25,NCAR,0.008966666666666668,0.013162730387893229
14,10.0%,0.25,NNAR,0.010566666666666669,0.01451380634818598
15,10.0%,0.3,NAR,0.012250000000000002,0.014710276726809402
16,10.0%,0.3,NCAR,0.012016666666666669,0.011657085556783091
17,10.0%,0.3,NNAR,0.008950000000000003,0.012982979574068876
18,10.0%,0.35,NAR,0.016050000000000002,0.016206294009342218
19,10.0%,0.35,NCAR,0.012333333333333333,0.016024406672179855
20,10.0%,0.35,NNAR,0.017283333333333335,0.017588536300539685
21,10.0%,0.4,NAR,0.029700000000000004,0.02268852056695723
22,10.0%,0.4,NCAR,0.022066666666666665,0.027482826403527654
23,10.0%,0.4,NNAR,0.03571666666666666,0.029167968772248278
24,10.0%,0.45,NAR,0.059033333333333333,0.07166780806361862
25,10.0%,0.45,NCAR,0.03988333333333334,0.03883534724194312
26,10.0%,0.45,NNAR,0.048316666666666674,0.0573384512217216
27,10.0%,0.5,NAR,0.058383333333333336,0.057412104234592184
28,10.0%,0.5,NCAR,0.057333333333333326,0.07795614741340307
29,10.0%,0.5,NNAR,0.06506666666666666,0.05250545674980599
30,10.0%,0.55,NAR,0.09611666666666668,0.09161902785103003
31,10.0%,0.55,NCAR,0.0618,0.10206189805447848
32,10.0%,0.55,NNAR,0.07503333333333333,0.0518989291852415
33,10.0%,0.6,NAR,0.08743333333333335,0.08343908921599877
34,10.0%,0.6,NCAR,0.05986666666666666,0.05330393226960183
