,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
0,10.0%,0.05,NAR,0.013506377766666668,0.04515884349709512
1,10.0%,0.05,NCAR,0.013180960399999999,0.039654776321100906
2,10.0%,0.05,NNAR,0.007278214099999999,0.07434920648442633
3,10.0%,0.1,NAR,0.009872862500000001,0.05940788654176607
4,10.0%,0.1,NCAR,0.0139957032,0.04635249748045031
5,10.0%,0.1,NNAR,0.0087961293,0.049007916532971374
6,10.0%,0.15,NAR,0.0286252399,0.05791742146414496
7,10.0%,0.15,NCAR,0.013162606033333333,0.03954382394306564
8,10.0%,0.15,NNAR,0.009754095733333332,0.0450403469003043
9,10.0%,0.2,NAR,0.027539537866666672,0.029180069997917137
10,10.0%,0.2,NCAR,0.028756479266666666,0.03439148255804745
11,10.0%,0.2,NNAR,0.0233492033,0.049799866210125714
12,10.0%,0.25,NAR,0.028188926333333333,0.04552165532658634
13,10.0%,0.25,NCAR,0.03124849346666667,0.037973737486414416
14,10.0%,0.25,NNAR,0.0347110268,0.044660358081941076
15,10.0%,0.3,NAR,0.04161936036666667,0.03490631667880776
16,10.0%,0.3,NCAR,0.04536662473333333,0.035013553533342075
17,10.0%,0.3,NNAR,0.033697945300000004,0.04208080845539239
18,10.0%,0.35,NAR,0.05607012163333334,0.04808250874262238
19,10.0%,0.35,NCAR,0.0381936279,0.056522161070415335
20,10.0%,0.35,NNAR,0.06573570923333333,0.059974881727359236
21,10.0%,0.4,NAR,0.10208149463333334,0.07863449450223527
22,10.0%,0.4,NCAR,0.06953968530000001,0.09819802962730105
23,10.0%,0.4,NNAR,0.12306879553333336,0.0885332876945091
24,10.0%,0.45,NAR,0.16232140343333337,0.14452031951338912
25,10.0%,0.45,NCAR,0.11332807563333332,0.10808239074638731
26,10.0%,0.45,NNAR,0.13885737906666668,0.12574652164687006
27,10.0%,0.5,NAR,0.158876165,0.14405349150046162
28,10.0%,0.5,NCAR,0.13066470196666666,0.13864817227439033
29,10.0%,0.5,NNAR,0.1653019274666667,0.10496517376771965
30,10.0%,0.55,NAR,0.19544845676666667,0.1503127520624069
31,10.0%,0.55,NCAR,0.13295272819999998,0.1744485893472712
32,10.0%,0.55,NNAR,0.1858486793,0.12013353837283614
33,10.0%,0.6,NAR,0.1624575115,0.15783394856028957
34,10.0%,0.6,NCAR,0.1341240304,0.09821348372770711
35,10.0%,0.6,NNAR,0.18061161676666668,0.15662751125858668
36,10.0%,0.65,NAR,0.18145935840000002,0.12001748529461168
37,10.0%,0.65,NCAR,0.16157071289999997,0.17518450628181395
