,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
0,10.0%,0.05,NCAR,0.0009999999999999924,0.004570023795722774
1,10.0%,0.05,NNAR,0.001874999999999993,0.006300565683915737
2,10.0%,0.1,NCAR,0.0011860158311345567,0.0047683468799996605
3,10.0%,0.1,NNAR,0.002112499999999981,0.007280701565661125
4,10.0%,0.15,NCAR,0.0018110539845758267,0.005817867623113102
5,10.0%,0.15,NNAR,0.0024787499999999922,0.00875452899259607
6,10.0%,0.2,NCAR,0.0012820512820512777,0.006631888058928241
7,10.0%,0.2,NNAR,0.00897999999999998,0.015936381982014965
8,10.0%,0.25,NCAR,0.0038567839195979723,0.009225257832391358
9,10.0%,0.25,NNAR,0.023127499999999978,0.03395994978239893
10,10.0%,0.3,NCAR,0.008411249999999974,0.013981737047472359
11,10.0%,0.3,NNAR,0.03180624999999996,0.03349545416263829
12,10.0%,0.35,NCAR,0.01899374999999997,0.018273968664863426
13,10.0%,0.35,NNAR,0.06435374999999997,0.04270556050660097
14,10.0%,0.4,NCAR,0.04669999999999994,0.030351016630853
15,10.0%,0.4,NNAR,0.08582749999999993,0.05131366019938204
16,10.0%,0.45,NCAR,0.10162374999999997,0.05314964744470315
17,10.0%,0.45,NNAR,0.07591124999999996,0.0430005566023019
18,10.0%,0.5,NCAR,0.20220374999999996,0.0870992022841417
19,10.0%,0.5,NNAR,0.08512624999999996,0.04110172521289331
20,10.0%,0.55,NCAR,0.21851624999999994,0.08368423830261121
21,10.0%,0.55,NNAR,0.07711249999999994,0.033176898744091333
22,10.0%,0.6,NCAR,0.14105499999999999,0.06757039937857738
23,10.0%,0.6,NNAR,0.06659874999999996,0.028632243832867194
24,10.0%,0.65,NCAR,0.08575499999999998,0.03577526588472554
25,10.0%,0.65,NNAR,0.05659624999999996,0.021239270879817553
26,100.0%,0.05,NCAR,0.0051249999999999725,0.0065487726313028394
27,100.0%,0.05,NNAR,0.009675781249999973,0.010535205776146802
28,100.0%,0.1,NCAR,0.008817941952506562,0.008417423036063354
29,100.0%,0.1,NNAR,0.011784999999999967,0.013018880640547865
30,100.0%,0.15,NCAR,0.012415167095115644,0.01097862268065877
31,100.0%,0.15,NNAR,0.01807624999999997,0.015795404329498205
32,100.0%,0.2,NCAR,0.01582948717948715,0.014399095845778918
33,100.0%,0.2,NNAR,0.03578499999999997,0.025658813530236524
34,100.0%,0.25,NCAR,0.026360552763819056,0.017467603022773004
35,100.0%,0.25,NNAR,0.07136999999999998,0.05641042403536446
36,100.0%,0.3,NCAR,0.03944999999999996,0.022647788098717522
37,100.0%,0.3,NNAR,0.10567124999999997,0.06527145014435769
38,100.0%,0.35,NCAR,0.06284999999999996,0.033494715851533026
39,100.0%,0.35,NNAR,0.20823875,0.10541025532773435
40,100.0%,0.4,NCAR,0.11565999999999997,0.042912826482203785
41,100.0%,0.4,NNAR,0.291425,0.11353271474907901
42,100.0%,0.45,NCAR,0.22540624999999997,0.06648119063093536
43,100.0%,0.45,NNAR,0.382345,0.1175402601532438
44,100.0%,0.5,NCAR,0.43159749999999997,0.07876517552789337
45,100.0%,0.5,NNAR,0.47716125000000004,0.12049989703897473
46,100.0%,0.55,NCAR,0.62918125,0.13738669160808495
47,100.0%,0.55,NNAR,0.54374,0.12053888982357419
48,100.0%,0.6,NCAR,0.74537375,0.15919493082676925
49,100.0%,0.6,NNAR,0.60949625,0.14584913622397871
50,100.0%,0.65,NCAR,0.8017250000000001,0.16020758581096728
51,100.0%,0.65,NNAR,0.69335375,0.1255238117019954
52,20.0%,0.05,NCAR,0.00127734374999999,0.005149390415043345
53,20.0%,0.05,NNAR,0.002688802083333322,0.006740056373573665
54,20.0%,0.1,NCAR,0.0018984168865435204,0.005697474389441183
55,20.0%,0.1,NNAR,0.0037112499999999854,0.007794895729648345
56,20.0%,0.15,NCAR,0.0029845758354755687,0.007072417647374826
57,20.0%,0.15,NNAR,0.005787499999999984,0.008702034662547039
58,20.0%,0.2,NCAR,0.0030897435897435793,0.007854617127324595
59,20.0%,0.2,NNAR,0.015694999999999973,0.017969571189146508
60,20.0%,0.25,NCAR,0.008239949748743688,0.009623037900567337
61,20.0%,0.25,NNAR,0.03564499999999996,0.03818353940776393
62,20.0%,0.3,NCAR,0.015956249999999964,0.014050792606457252
63,20.0%,0.3,NNAR,0.060117499999999956,0.047775725988563854
64,20.0%,0.35,NCAR,0.03102999999999996,0.02071625589109584
65,20.0%,0.35,NNAR,0.11469499999999996,0.06934893772010692
66,20.0%,0.4,NCAR,0.06935624999999997,0.03549326542689698
67,20.0%,0.4,NNAR,0.15963999999999995,0.07791240277558936
68,20.0%,0.45,NCAR,0.15421999999999997,0.06406505426474611
69,20.0%,0.45,NNAR,0.16780499999999995,0.07538356039578434
70,20.0%,0.5,NCAR,0.31599625,0.09607218782833463
71,20.0%,0.5,NNAR,0.1949975,0.07470804490604885
72,20.0%,0.55,NCAR,0.4270425,0.14194342370318344
73,20.0%,0.55,NNAR,0.18100624999999992,0.05792315656197232
74,20.0%,0.6,NCAR,0.40507374999999995,0.13910277366047594
75,20.0%,0.6,NNAR,0.16178999999999996,0.05755528801026768
76,20.0%,0.65,NCAR,0.2770275,0.0815534281797502
77,20.0%,0.65,NNAR,0.15234999999999996,0.045631945346327564
78,30.0%,0.05,NCAR,0.0018502604166666583,0.005774740163236228
79,30.0%,0.05,NNAR,0.003959635416666656,0.006844052581724172
80,30.0%,0.1,NCAR,0.0028377308707123856,0.005713108117412096
81,30.0%,0.1,NNAR,0.005043749999999978,0.008658515210567503
82,30.0%,0.15,NCAR,0.003910025706940859,0.006696831628861266
83,30.0%,0.15,NNAR,0.007688749999999978,0.008985437867554314
84,30.0%,0.2,NCAR,0.005019230769230753,0.00755827501865753
85,30.0%,0.2,NNAR,0.020748749999999972,0.018982646036944106
86,30.0%,0.25,NCAR,0.010991206030150727,0.009973228550002908
87,30.0%,0.25,NNAR,0.04716249999999996,0.04534111694659619
88,30.0%,0.3,NCAR,0.02109499999999996,0.014587038054313653
89,30.0%,0.3,NNAR,0.07316874999999996,0.05484644454872706
90,30.0%,0.35,NCAR,0.03913249999999996,0.02288975854756696
91,30.0%,0.35,NNAR,0.15279749999999998,0.08927802309229395
92,30.0%,0.4,NCAR,0.08301499999999995,0.03893140004898919
93,30.0%,0.4,NNAR,0.2190625,0.10204836851975567
94,30.0%,0.45,NCAR,0.18230749999999996,0.06888858422366403
95,30.0%,0.45,NNAR,0.25605999999999995,0.09929553316875928
96,30.0%,0.5,NCAR,0.3694475,0.09668084198416416
97,30.0%,0.5,NNAR,0.3025825,0.10223973960567678
98,30.0%,0.55,NCAR,0.5334924999999999,0.15460725144458176
99,30.0%,0.55,NNAR,0.30607749999999995,0.09485391878315468
100,30.0%,0.6,NCAR,0.5883825,0.1701331041466252
101,30.0%,0.6,NNAR,0.29899624999999996,0.09698640506719043
102,30.0%,0.65,NCAR,0.5550725,0.1476786407918061
103,30.0%,0.65,NNAR,0.29651625,0.07575897747202319
104,40.0%,0.05,NCAR,0.002230468749999989,0.005295905486628577
105,40.0%,0.05,NNAR,0.005002604166666652,0.007730276408852855
106,40.0%,0.1,NCAR,0.003587071240105524,0.005890564298000613
107,40.0%,0.1,NNAR,0.005874999999999977,0.009347744423899068
108,40.0%,0.15,NCAR,0.004830334190231342,0.0070981342939563504
109,40.0%,0.15,NNAR,0.009976249999999975,0.010112589782928717
110,40.0%,0.2,NCAR,0.006543589743589724,0.008441734214056277
111,40.0%,0.2,NNAR,0.024126249999999974,0.019759035519202925
112,40.0%,0.25,NCAR,0.013809045226130624,0.010934138465044253
113,40.0%,0.25,NNAR,0.05303749999999995,0.04851284452554704
114,40.0%,0.3,NCAR,0.02406749999999996,0.015176173244129735
115,40.0%,0.3,NNAR,0.08415874999999996,0.059007012228784475
116,40.0%,0.35,NCAR,0.044564999999999966,0.024759712911474694
117,40.0%,0.35,NNAR,0.17368874999999995,0.0982744226837383
118,40.0%,0.4,NCAR,0.09294374999999995,0.04024206157413959
119,40.0%,0.4,NNAR,0.249245,0.11030843622659554
120,40.0%,0.45,NCAR,0.19566999999999996,0.06927805187198863
121,40.0%,0.45,NNAR,0.31617375,0.11525199234845454
122,40.0%,0.5,NCAR,0.39179625,0.09168034727316329
123,40.0%,0.5,NNAR,0.39097124999999994,0.1185348147347352
124,40.0%,0.55,NCAR,0.5764925,0.15296520709037237
125,40.0%,0.55,NNAR,0.42656875,0.11886305444804666
126,40.0%,0.6,NCAR,0.67338125,0.17734180079499173
127,40.0%,0.6,NNAR,0.4575199999999999,0.13772345106201442
128,40.0%,0.65,NCAR,0.69872625,0.17627672320473
129,40.0%,0.65,NNAR,0.49027,0.11447891467323539
130,50.0%,0.05,NCAR,0.0025013020833333185,0.005904317433674552
131,50.0%,0.05,NNAR,0.0061067708333333165,0.008032915704460577
132,50.0%,0.1,NCAR,0.004439313984168846,0.006180294727145335
133,50.0%,0.1,NNAR,0.007098749999999974,0.009714128069356995
134,50.0%,0.15,NCAR,0.006625964010282753,0.007670960060933261
135,50.0%,0.15,NNAR,0.01116874999999998,0.011389422540322434
136,50.0%,0.2,NCAR,0.008075641025641008,0.009187985139560824
137,50.0%,0.2,NNAR,0.02642999999999997,0.021173471366885282
138,50.0%,0.25,NCAR,0.016373115577889417,0.012086364523593818
139,50.0%,0.25,NNAR,0.05879374999999996,0.05103591625323305
140,50.0%,0.3,NCAR,0.028094999999999964,0.01684221260147499
141,50.0%,0.3,NNAR,0.08966624999999998,0.06097814215346941
142,50.0%,0.35,NCAR,0.049088749999999966,0.026591243559159778
143,50.0%,0.35,NNAR,0.18664374999999997,0.10128893613022838
144,50.0%,0.4,NCAR,0.09877374999999997,0.04188076147100214
145,50.0%,0.4,NNAR,0.2659575,0.11284482411512697
146,50.0%,0.45,NCAR,0.2053325,0.06954699962357547
147,50.0%,0.45,NNAR,0.34726375,0.11973412405030044
148,50.0%,0.5,NCAR,0.40627125,0.08834358222155611
149,50.0%,0.5,NNAR,0.4341175,0.12521218559831054
150,50.0%,0.55,NCAR,0.5977687500000001,0.1485042454805649
151,50.0%,0.55,NNAR,0.489405,0.128202205475264
152,50.0%,0.6,NCAR,0.7065699999999999,0.17332994772093585
153,50.0%,0.6,NNAR,0.54304375,0.15267350115795167
154,50.0%,0.65,NCAR,0.7529412500000001,0.17643642041699156
155,50.0%,0.65,NNAR,0.6115225,0.13819804173938757
156,60.0%,0.05,NCAR,0.003157552083333313,0.0056718852459046514
157,60.0%,0.05,NNAR,0.006548177083333315,0.008174876932179949
158,60.0%,0.1,NCAR,0.005316622691292857,0.006803944793580171
159,60.0%,0.1,NNAR,0.008256249999999979,0.010234773441850817
160,60.0%,0.15,NCAR,0.007439588688945991,0.008220124026171664
161,60.0%,0.15,NNAR,0.012741249999999975,0.011615926472176779
162,60.0%,0.2,NCAR,0.009697435897435875,0.010295604852055029
163,60.0%,0.2,NNAR,0.02841999999999997,0.021466879542523947
164,60.0%,0.25,NCAR,0.01889824120603012,0.012999624947975248
165,60.0%,0.25,NNAR,0.06217374999999997,0.052686039258701384
166,60.0%,0.3,NCAR,0.03049749999999997,0.01789824325258828
167,60.0%,0.3,NNAR,0.09409499999999998,0.061853713953363886
168,60.0%,0.35,NCAR,0.05276249999999996,0.028259823740508568
169,60.0%,0.35,NNAR,0.1936225,0.1037233523769879
170,60.0%,0.4,NCAR,0.10303624999999997,0.04249793521078937
171,60.0%,0.4,NNAR,0.27454124999999996,0.11366939231962704
172,60.0%,0.45,NCAR,0.21102624999999997,0.07004585813266444
173,60.0%,0.45,NNAR,0.36175874999999996,0.1207373593727653
174,60.0%,0.5,NCAR,0.4145075,0.0860283871885068
175,60.0%,0.5,NNAR,0.45319625,0.1251780270537933
176,60.0%,0.55,NCAR,0.6093237499999999,0.14507774533475506
177,60.0%,0.55,NNAR,0.5153225,0.12843502201873283
178,60.0%,0.6,NCAR,0.7224062500000001,0.16891226337282866
179,60.0%,0.6,NNAR,0.57723,0.15318705161323162
180,60.0%,0.65,NCAR,0.7743475,0.17228942832202104
181,60.0%,0.65,NNAR,0.6561862500000001,0.13744928774895213
182,70.0%,0.05,NCAR,0.0035364583333333172,0.00639343037146008
183,70.0%,0.05,NNAR,0.0071757812499999825,0.008810284277401555
184,70.0%,0.1,NCAR,0.005653034300791536,0.007036774906597605
185,70.0%,0.1,NNAR,0.008778749999999972,0.010508400908875427
186,70.0%,0.15,NCAR,0.008832904884318737,0.00902504231041866
187,70.0%,0.15,NNAR,0.014166249999999981,0.012734929603949273
188,70.0%,0.2,NCAR,0.01088461538461536,0.011554309859521668
189,70.0%,0.2,NNAR,0.03035374999999997,0.022630916505794255
190,70.0%,0.25,NCAR,0.020373115577889418,0.013773979990458088
191,70.0%,0.25,NNAR,0.06414374999999996,0.053585875714854375
192,70.0%,0.3,NCAR,0.03245249999999996,0.018888712300761855
193,70.0%,0.3,NNAR,0.09796749999999996,0.06241926268898562
194,70.0%,0.35,NCAR,0.05540374999999997,0.02975328984463646
195,70.0%,0.35,NNAR,0.19840375,0.1036760854182711
196,70.0%,0.4,NCAR,0.10709374999999997,0.04257990378633604
197,70.0%,0.4,NNAR,0.2806225,0.1134799121868043
198,70.0%,0.45,NCAR,0.2155825,0.06917833692348167
199,70.0%,0.45,NNAR,0.36960875000000004,0.11915116995519487
200,70.0%,0.5,NCAR,0.4194137499999999,0.08420266270703611
201,70.0%,0.5,NNAR,0.4620675,0.12469652059850524
202,70.0%,0.55,NCAR,0.61604,0.1420591484352041
203,70.0%,0.55,NNAR,0.52747375,0.1263163171005715
204,70.0%,0.6,NCAR,0.73078,0.16578268560714593
205,70.0%,0.6,NNAR,0.59152375,0.15224198374618922
206,70.0%,0.65,NCAR,0.785595,0.1678362139461548
207,70.0%,0.65,NNAR,0.6737787500000002,0.13414531892657414
208,80.0%,0.05,NCAR,0.00399218749999998,0.006585345817537093
209,80.0%,0.05,NNAR,0.0076067708333333135,0.009396630471551266
210,80.0%,0.1,NCAR,0.006696569920844303,0.00763080042902173
211,80.0%,0.1,NNAR,0.009709999999999974,0.011332506972674407
212,80.0%,0.15,NCAR,0.009434447300771176,0.009581322897674894
213,80.0%,0.15,NNAR,0.01545874999999998,0.013595763509306946
214,80.0%,0.2,NCAR,0.013006410256410233,0.012676743677627738
215,80.0%,0.2,NNAR,0.03219874999999997,0.023155297297158584
216,80.0%,0.25,NCAR,0.02218467336683414,0.015367756859756672
217,80.0%,0.25,NNAR,0.06677374999999997,0.054039430845937694
218,80.0%,0.3,NCAR,0.034509999999999964,0.020066490977507147
219,80.0%,0.3,NNAR,0.10031249999999997,0.06346734477968541
220,80.0%,0.35,NCAR,0.05788249999999996,0.031056762548598012
221,80.0%,0.35,NNAR,0.20242875,0.10428658123652584
222,80.0%,0.4,NCAR,0.10996374999999997,0.0429720496784995
223,80.0%,0.4,NNAR,0.2846512499999999,0.113408372246835
224,80.0%,0.45,NCAR,0.21881249999999997,0.0687590766393845
225,80.0%,0.45,NNAR,0.37453749999999997,0.1185930779560837
226,80.0%,0.5,NCAR,0.4241375,0.08172375280897813
227,80.0%,0.5,NNAR,0.46882375,0.12251693989952314
228,80.0%,0.55,NCAR,0.6206412499999999,0.14014318465036882
229,80.0%,0.55,NNAR,0.5344725,0.12359717796029722
230,80.0%,0.6,NCAR,0.7364274999999999,0.16313323043122552
231,80.0%,0.6,NNAR,0.60003875,0.14863248943527396
232,80.0%,0.65,NCAR,0.7918912499999999,0.16446868217682034
233,80.0%,0.65,NNAR,0.68259,0.1307150352910017
234,90.0%,0.05,NCAR,0.0040885416666666475,0.006406485287767739
235,90.0%,0.05,NNAR,0.008217447916666646,0.00997707464816912
236,90.0%,0.1,NCAR,0.007453825857519765,0.00811963163350246
237,90.0%,0.1,NNAR,0.01062249999999997,0.011821987659889354
238,90.0%,0.15,NCAR,0.010573264781490973,0.010557728145395719
239,90.0%,0.15,NNAR,0.016818749999999976,0.014917661176435705
240,90.0%,0.2,NCAR,0.01422051282051279,0.01379183618078551
241,90.0%,0.2,NNAR,0.033687499999999974,0.024324247496905777
242,90.0%,0.25,NCAR,0.023922110552763786,0.0162834298978169
243,90.0%,0.25,NNAR,0.06912624999999997,0.05533137526448397
244,90.0%,0.3,NCAR,0.03697124999999996,0.021446846306128472
245,90.0%,0.3,NNAR,0.10282874999999997,0.06403235827065684
246,90.0%,0.35,NCAR,0.06025874999999997,0.03286194138233528
247,90.0%,0.35,NNAR,0.2052825,0.10420467469995437
248,90.0%,0.4,NCAR,0.11252749999999997,0.043469566962182855
249,90.0%,0.4,NNAR,0.28810375,0.11266800815267052
250,90.0%,0.45,NCAR,0.22213499999999997,0.06807738685866078
251,90.0%,0.45,NNAR,0.37822249999999996,0.11773110049519425
252,90.0%,0.5,NCAR,0.4271875,0.0803917248060597
253,90.0%,0.5,NNAR,0.472915,0.1211517577090402
254,90.0%,0.55,NCAR,0.6252212500000001,0.13784147545032777
255,90.0%,0.55,NNAR,0.539175,0.12187329845865742
256,90.0%,0.6,NCAR,0.7407362500000001,0.1606040908443098
257,90.0%,0.6,NNAR,0.6054724999999999,0.14676537203926737
258,90.0%,0.65,NCAR,0.79676625,0.16190542966907664
259,90.0%,0.65,NNAR,0.688285,0.12757752579400222
