,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
0,10.0%,0.05,NCAR,0.0013665426562069205,0.4088069671044179
1,10.0%,0.05,NNAR,0.08018389955680007,0.25910620539093443
2,10.0%,0.1,NCAR,0.010908546011024763,0.423649890994043
3,10.0%,0.1,NNAR,0.03417308049649503,0.6480826618073828
4,10.0%,0.15,NCAR,0.00559427344336245,0.4799656466430997
5,10.0%,0.15,NNAR,0.04655170500476849,0.5434638442139444
6,10.0%,0.2,NCAR,-0.0023980050119161134,0.47860423390229667
7,10.0%,0.2,NNAR,0.14258743417467418,0.3204628647975228
8,10.0%,0.25,NCAR,0.07343422910199318,0.3904154706288497
9,10.0%,0.25,NNAR,0.19228589900847595,0.2606903210963292
10,10.0%,0.3,NCAR,0.15367295921404425,0.28996076148098865
11,10.0%,0.3,NNAR,0.21416231332612212,0.21284888485326064
12,10.0%,0.35,NCAR,0.22094055988183925,0.25384660658047203
13,10.0%,0.35,NNAR,0.2430694156500234,0.18122429141494764
14,10.0%,0.4,NCAR,0.32574223023464677,0.24557539350296992
15,10.0%,0.4,NNAR,0.23560930818018996,0.13980529922441193
16,10.0%,0.45,NCAR,0.33935318938178904,0.25671979563023667
17,10.0%,0.45,NNAR,0.16630872643637762,0.09287270212341567
18,10.0%,0.5,NCAR,0.40075422864762317,0.1631251256914008
19,10.0%,0.5,NNAR,0.1540239300381874,0.06686753916765488
20,10.0%,0.55,NCAR,0.3054980548212222,0.08612234886716523
21,10.0%,0.55,NNAR,0.12512202640707903,0.05218865486984861
22,10.0%,0.6,NCAR,0.16958528594738376,0.07115328266770007
23,10.0%,0.6,NNAR,0.09813460133552936,0.04237076401075125
24,10.0%,0.65,NCAR,0.09843270148434699,0.03915816526688165
25,10.0%,0.65,NNAR,0.07477886129858384,0.028982853673775955
26,100.0%,0.05,NCAR,0.3814237129977534,0.44096595296677277
27,100.0%,0.05,NNAR,0.4768037006198094,0.4527432690995532
28,100.0%,0.1,NCAR,0.4351199032644552,0.42554338450503054
29,100.0%,0.1,NNAR,0.48776558843867823,0.43764448494789887
30,100.0%,0.15,NCAR,0.47857420948726853,0.4150573503696215
31,100.0%,0.15,NNAR,0.5342305702733394,0.4272713064779165
32,100.0%,0.2,NCAR,0.5059030674456889,0.4112628361090256
33,100.0%,0.2,NNAR,0.5913905083785299,0.4004217160887682
34,100.0%,0.25,NCAR,0.5751985937970671,0.38115621741142514
35,100.0%,0.25,NNAR,0.6390479219653945,0.364528119711293
36,100.0%,0.3,NCAR,0.6241223999385764,0.3612669310856678
37,100.0%,0.3,NNAR,0.6766724487630998,0.33373896950625026
38,100.0%,0.35,NCAR,0.6793815879856894,0.31957052121085283
39,100.0%,0.35,NNAR,0.7402364742563537,0.2725239065640824
40,100.0%,0.4,NCAR,0.7349961310149152,0.27357850238427034
41,100.0%,0.4,NNAR,0.7895939291087288,0.22453468708027688
42,100.0%,0.45,NCAR,0.8067897435104666,0.1996798411723577
43,100.0%,0.45,NNAR,0.8299597189304617,0.18348369872730216
