,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
0,10.0%,0.05,NAR,-0.0001159999999999859,0.0020501229430530646
1,10.0%,0.05,NCAR,0.0007119999999999807,0.0022937038934919933
2,10.0%,0.05,NNAR,0.003241999999999976,0.003791671323911309
3,10.0%,0.1,NAR,0.0009779999999999902,0.0030236678631983737
4,10.0%,0.1,NCAR,0.0012399999999999779,0.0021903312581452233
5,10.0%,0.1,NNAR,0.00600799999999995,0.005125878321949169
6,10.0%,0.15,NAR,0.003415999999999962,0.0034899482482567057
7,10.0%,0.15,NCAR,0.0005259999999999881,0.003078749414808455
8,10.0%,0.15,NNAR,0.009149999999999946,0.008017767260075238
9,10.0%,0.2,NAR,0.0024699999999999705,0.004023312169882697
10,10.0%,0.2,NCAR,0.002143999999999972,0.00270435476479649
11,10.0%,0.2,NNAR,0.014957999999999963,0.007630553247120606
12,10.0%,0.25,NAR,0.00497599999999996,0.0044214486498505325
13,10.0%,0.25,NCAR,0.0013779999999999795,0.003918834166495111
14,10.0%,0.25,NNAR,0.025545999999999947,0.010242791591740824
15,10.0%,0.3,NAR,0.006051999999999964,0.004177307012604058
16,10.0%,0.3,NCAR,0.012055999999999957,0.01997464883091483
17,10.0%,0.3,NNAR,0.03596599999999997,0.01049673632465767
18,10.0%,0.35,NAR,0.015055999999999957,0.015114125843064824
19,10.0%,0.35,NCAR,0.006245999999999965,0.009161414426043284
20,10.0%,0.35,NNAR,0.04393799999999995,0.010230663991857314
21,10.0%,0.4,NAR,0.023799999999999967,0.01907920119835594
22,10.0%,0.4,NCAR,0.030639999999999955,0.05247404800742663
23,10.0%,0.4,NNAR,0.05864599999999994,0.019368554464409993
24,10.0%,0.45,NAR,0.03554399999999995,0.027175740682319073
25,10.0%,0.45,NCAR,0.03536599999999997,0.06900897785426034
26,10.0%,0.45,NNAR,0.06234199999999995,0.013393740389922951
27,10.0%,0.5,NAR,0.08325199999999995,0.07305369353274008
28,10.0%,0.5,NCAR,0.05152799999999998,0.09539535358556142
29,10.0%,0.5,NNAR,0.07668799999999998,0.015316799367268041
30,10.0%,0.55,NAR,0.12567199999999995,0.038226276036148706
31,10.0%,0.55,NCAR,0.016023999999999945,0.027625480400292397
32,10.0%,0.55,NNAR,0.08604199999999997,0.024490648694336127
33,10.0%,0.6,NAR,0.12144399999999995,0.02504275658035386
34,10.0%,0.6,NCAR,0.021663999999999965,0.021202769938411924
35,10.0%,0.6,NNAR,0.09098999999999995,0.026120906084856198
36,10.0%,0.65,NAR,0.11747999999999995,0.029229541947300156
37,10.0%,0.65,NCAR,0.022083999999999965,0.019396226857987874
38,10.0%,0.65,NNAR,0.08848199999999996,0.03966250318857439
39,100.0%,0.05,NAR,0.005399999999999968,0.0035925092134856808
40,100.0%,0.05,NCAR,0.005507999999999935,0.003262141527729712
41,100.0%,0.05,NNAR,0.017981999999999956,0.010001891453773188
