,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
0,10.0%,0.05,NAR,-0.001325704665699588,0.015385052663309282
1,10.0%,0.05,NCAR,0.005883222973024385,0.018790113603702537
2,10.0%,0.05,NNAR,0.023334160201711574,0.030614952745606976
3,10.0%,0.1,NAR,0.009238966558256257,0.024222057277724283
4,10.0%,0.1,NCAR,0.008532707184167394,0.01694870249873162
5,10.0%,0.1,NNAR,0.03690642929883153,0.03356802313048374
6,10.0%,0.15,NAR,0.020800464512852623,0.025049173302886696
7,10.0%,0.15,NCAR,0.00380184676080047,0.025976994434870324
8,10.0%,0.15,NNAR,0.04825748612328003,0.0390900259645616
9,10.0%,0.2,NAR,0.017520377856484838,0.029676805777817054
10,10.0%,0.2,NCAR,0.013176635652858665,0.019345731763732152
11,10.0%,0.2,NNAR,0.07020392591774152,0.033991298728084214
12,10.0%,0.25,NAR,0.029839459089163186,0.02991588203737475
13,10.0%,0.25,NCAR,0.007462191973235853,0.023911970443425787
14,10.0%,0.25,NNAR,0.10404837006263128,0.03425106860363747
15,10.0%,0.3,NAR,0.03476968036472011,0.026699473675046437
16,10.0%,0.3,NCAR,0.05183188097643015,0.07482329547633991
17,10.0%,0.3,NNAR,0.1256118213653682,0.0348397329448396
18,10.0%,0.35,NAR,0.06943744421485891,0.0581469947363328
19,10.0%,0.35,NCAR,0.02694029429734329,0.03230798977673313
20,10.0%,0.35,NNAR,0.13145219118237697,0.0333664078359817
21,10.0%,0.4,NAR,0.09822160286819813,0.06308958036774996
22,10.0%,0.4,NCAR,0.08407387891040456,0.11027711574196898
23,10.0%,0.4,NNAR,0.14946824378252402,0.04682949783963627
24,10.0%,0.45,NAR,0.12846387931779613,0.06895102302433401
25,10.0%,0.45,NCAR,0.07456039364847214,0.10700130691259198
26,10.0%,0.45,NNAR,0.14973861911093678,0.03416578885203561
27,10.0%,0.5,NAR,0.20839073123239385,0.10736645900455767
28,10.0%,0.5,NCAR,0.08246373436969565,0.10929956110074093
29,10.0%,0.5,NNAR,0.15435857883177723,0.03695225927463522
30,10.0%,0.55,NAR,0.27494125804290365,0.06812163498807508
31,10.0%,0.55,NCAR,0.05491385087638221,0.051018477360985075
32,10.0%,0.55,NNAR,0.1603616612699463,0.04913401173583022
33,10.0%,0.6,NAR,0.23367216147436803,0.07006073866857825
34,10.0%,0.6,NCAR,0.07959141433241027,0.059516813459539596
35,10.0%,0.6,NNAR,0.1499072596083364,0.051765803061018946
36,10.0%,0.65,NAR,0.19086863176849275,0.058575792211226996
37,10.0%,0.65,NCAR,0.09210462088502963,0.0652458033636873
38,10.0%,0.65,NNAR,0.13549618674225067,0.06497401541290386
39,100.0%,0.05,NAR,0.039914482307437237,0.03441875418310302
40,100.0%,0.05,NCAR,0.038961459547712525,0.029926225207566045
41,100.0%,0.05,NNAR,0.11986508625074226,0.08706143520840985
42,100.0%,0.1,NAR,0.06797294932311854,0.06298729525960688
43,100.0%,0.1,NCAR,0.07740589731321444,0.04134192093699073
44,100.0%,0.1,NNAR,0.17561221406027971,0.13225058682226587
45,100.0%,0.15,NAR,0.12075860688474961,0.07938018990401721
46,100.0%,0.15,NCAR,0.08560598333474415,0.046720625622419715
47,100.0%,0.15,NNAR,0.24810771107052534,0.1629660718598801
48,100.0%,0.2,NAR,0.1419315835037698,0.08662502910731606
49,100.0%,0.2,NCAR,0.12394403986688812,0.06936294993925952
50,100.0%,0.2,NNAR,0.32950609933204417,0.15461178544623932
51,100.0%,0.25,NAR,0.18073557188222197,0.0981330246479097
52,100.0%,0.25,NCAR,0.1463761711306146,0.0824754154094805
53,100.0%,0.25,NNAR,0.4079053393000398,0.13626655146571234
54,100.0%,0.3,NAR,0.21235125840639885,0.11389709713600193
55,100.0%,0.3,NCAR,0.19454077380020404,0.12329342620060871
56,100.0%,0.3,NNAR,0.49951345498310695,0.11151422422530347
57,100.0%,0.35,NAR,0.2923617902750781,0.1384423503824406
58,100.0%,0.35,NCAR,0.23226215540194844,0.1468306110963173
59,100.0%,0.35,NNAR,0.5740147861533726,0.10451853486186752
60,100.0%,0.4,NAR,0.36681480466685856,0.15224955891444614
61,100.0%,0.4,NCAR,0.27824682836601494,0.2058873901336126
62,100.0%,0.4,NNAR,0.6368503765314754,0.0877871081832505
63,100.0%,0.45,NAR,0.45000357319958956,0.14802599373721767
64,100.0%,0.45,NCAR,0.31038405253568885,0.23663087217147688
65,100.0%,0.45,NNAR,0.6578912093330489,0.07956504999752206
