,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
0,10.0%,0.05,lstm,0.0069,0.016327735849871936
1,10.0%,0.05,mnb,0.0007083333333333334,0.00125955730073607
2,10.0%,0.05,sgd,0.00205,0.004826136823449524
3,10.0%,0.1,lstm,0.008491666666666668,0.014201429584407914
4,10.0%,0.1,mnb,9.16666666666667e-05,0.0017537275227610578
5,10.0%,0.1,sgd,0.0004416666666666666,0.005671387471716399
6,10.0%,0.15,lstm,0.015483333333333333,0.0158898431347178
7,10.0%,0.15,mnb,0.0002833333333333333,0.0023875846004046924
8,10.0%,0.15,sgd,0.0008666666666666666,0.006059832392686367
9,10.0%,0.2,lstm,0.014683333333333333,0.02114813035156883
10,10.0%,0.2,mnb,0.0006083333333333334,0.0027016827415250557
11,10.0%,0.2,sgd,0.0027083333333333334,0.006543193054628608
12,10.0%,0.25,lstm,0.020941666666666667,0.018424634510967784
13,10.0%,0.25,mnb,0.0024583333333333336,0.0030067035281920594
14,10.0%,0.25,sgd,0.0050416666666666665,0.01090632060466098
15,10.0%,0.3,lstm,0.027375,0.01805177544283818
16,10.0%,0.3,mnb,0.008291666666666668,0.006337027155162435
17,10.0%,0.3,sgd,0.010616666666666667,0.018750544343172176
18,10.0%,0.35,lstm,0.030625000000000006,0.019106100262138548
19,10.0%,0.35,mnb,0.0217,0.016281453076605737
20,10.0%,0.35,sgd,0.022283333333333332,0.023602514939823547
21,10.0%,0.4,lstm,0.039233333333333335,0.019220845360143332
22,10.0%,0.4,mnb,0.06386666666666667,0.03478527973546439
23,10.0%,0.4,sgd,0.051383333333333336,0.04397348003943641
24,10.0%,0.45,lstm,0.0415,0.019429251100321076
25,10.0%,0.45,mnb,0.14475833333333332,0.046336728056119575
26,10.0%,0.45,sgd,0.12314166666666666,0.05929364269823343
27,10.0%,0.5,lstm,0.04350833333333334,0.019717754586625107
28,10.0%,0.5,mnb,0.24789999999999998,0.04619094458164433
