,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
0,10.0%,0.05,lstm,0.05143740519166667,0.18302999286828686
1,10.0%,0.05,mnb,0.014211905758333336,0.037070665730994115
2,10.0%,0.05,sgd,0.02847249425833333,0.09412799999284747
3,10.0%,0.1,lstm,0.055952273574999996,0.10494928457358015
4,10.0%,0.1,mnb,-0.005283364291666668,0.04204064645355601
5,10.0%,0.1,sgd,0.0018314742416666667,0.1363744979927954
6,10.0%,0.15,lstm,0.07958738270833333,0.080876971972114
7,10.0%,0.15,mnb,0.0014677521749999994,0.0511294104478915
8,10.0%,0.15,sgd,0.005601230125000001,0.14314001631794962
9,10.0%,0.2,lstm,0.05965525114166667,0.08794408773714257
10,10.0%,0.2,mnb,0.020829368975,0.06314594390716688
11,10.0%,0.2,sgd,0.02970339526666667,0.1488375172832857
12,10.0%,0.25,lstm,0.07493920283333333,0.06632890660453811
13,10.0%,0.25,mnb,0.03709347506666667,0.054765675895056154
14,10.0%,0.25,sgd,0.05793262981666667,0.14221181761930946
15,10.0%,0.3,lstm,0.08251386515833332,0.05396765894165701
16,10.0%,0.3,mnb,0.111253665925,0.08024127018489652
17,10.0%,0.3,sgd,0.09719137964166666,0.16251296631157056
18,10.0%,0.35,lstm,0.08240974816666666,0.050566173447389604
19,10.0%,0.35,mnb,0.21008792969999998,0.10160770868394707
20,10.0%,0.35,sgd,0.17871119802499996,0.17556241229781203
21,10.0%,0.4,lstm,0.09150083543333333,0.04324512630840832
22,10.0%,0.4,mnb,0.35003060354166665,0.10079309311202787
23,10.0%,0.4,sgd,0.24927920814166668,0.1798131368144118
24,10.0%,0.45,lstm,0.088761586225,0.040612234077267446
25,10.0%,0.45,mnb,0.44983362365000007,0.08728690969617132
26,10.0%,0.45,sgd,0.3833992809666667,0.14490224268016583
27,10.0%,0.5,lstm,0.08583248297499999,0.03757487880526762
28,10.0%,0.5,mnb,0.44630734941666667,0.09618749498979458
29,10.0%,0.5,sgd,0.4172532264,0.1394094331728372
30,10.0%,0.55,lstm,0.09066879201666667,0.029567052028690585
31,10.0%,0.55,mnb,0.29745721053333335,0.09179443228026521
32,10.0%,0.55,sgd,0.29925260391666675,0.10293998433243011
33,10.0%,0.6,lstm,0.08889252408333335,0.03102239641220626
34,10.0%,0.6,mnb,0.14918542668333334,0.043054701426278194
35,10.0%,0.6,sgd,0.15547628036666666,0.07582501288449343
36,10.0%,0.65,lstm,0.09472341985833334,0.033613260196438115
37,10.0%,0.65,mnb,0.0589965061,0.01735076307122421
38,10.0%,0.65,sgd,0.0610821547,0.03641186984514518
39,100.0%,0.05,lstm,0.49337434984166667,0.15385927150640077
40,100.0%,0.05,mnb,0.03878491441666667,0.06918554069174128
41,100.0%,0.05,sgd,0.0683045463,0.10657672674031045
42,100.0%,0.1,lstm,0.6620893593999999,0.15527579666763827
43,100.0%,0.1,mnb,0.053397991750000005,0.11613890238993146
44,100.0%,0.1,sgd,0.06722150356666666,0.1338326868750362
45,100.0%,0.15,lstm,0.7355901090166667,0.14120882954251493
46,100.0%,0.15,mnb,0.06828224141666665,0.12234513769007782
47,100.0%,0.15,sgd,0.10284274633333332,0.15497166630560952
48,100.0%,0.2,lstm,0.7775905002083333,0.11656616131341455
49,100.0%,0.2,mnb,0.09331796558333333,0.11932460474435361
50,100.0%,0.2,sgd,0.2014860536,0.13720275815071656
51,100.0%,0.25,lstm,0.8116300737499998,0.10820781859899055
52,100.0%,0.25,mnb,0.1987065443333334,0.14243397566927976
53,100.0%,0.25,sgd,0.27223777935000004,0.13895988328932837
54,100.0%,0.3,lstm,0.8397798734833333,0.09226447579904583
55,100.0%,0.3,mnb,0.3465349426666667,0.1272163116355698
56,100.0%,0.3,sgd,0.4301917441416666,0.15907738820955744
57,100.0%,0.35,lstm,0.8567417850583333,0.08499062065982266
58,100.0%,0.35,mnb,0.4936600570833333,0.14812793814884934
59,100.0%,0.35,sgd,0.5413440687916666,0.18725656807104604
60,100.0%,0.4,lstm,0.8739654417750001,0.07503081332648938
61,100.0%,0.4,mnb,0.6906070261666667,0.1291226757768441
62,100.0%,0.4,sgd,0.677239579375,0.15016065863172778
63,100.0%,0.45,lstm,0.8850948844000001,0.07024033331640457
64,100.0%,0.45,mnb,0.828537014,0.08724398834583623
65,100.0%,0.45,sgd,0.8170422558333333,0.10009099052562319
66,100.0%,0.5,lstm,0.8915266816499999,0.0682151831938944
67,100.0%,0.5,mnb,0.8989672213333334,0.06107945356183213
68,100.0%,0.5,sgd,0.8972579740416667,0.06150842263560976
69,100.0%,0.55,lstm,0.9049937729249999,0.059712597991756156
70,100.0%,0.55,mnb,0.9277871833333333,0.043603798516524864
71,100.0%,0.55,sgd,0.92655239335,0.04530358944949072
72,100.0%,0.6,lstm,0.9089454101166667,0.05844390152177557
73,100.0%,0.6,mnb,0.9346572650833335,0.04042899510203131
74,100.0%,0.6,sgd,0.9333277488083332,0.0418091932623216
75,100.0%,0.65,lstm,0.9148472607250001,0.05563031502495791
76,100.0%,0.65,mnb,0.9376452352500001,0.03796241179836466
77,100.0%,0.65,sgd,0.9359671820750001,0.03829573933112283
78,20.0%,0.05,lstm,0.10941829230833333,0.1511629523810996
79,20.0%,0.05,mnb,0.01888439170833333,0.04030431379638913
80,20.0%,0.05,sgd,0.02912390298333333,0.10363989582393772
81,20.0%,0.1,lstm,0.10703894748333334,0.10063595648829511
82,20.0%,0.1,mnb,-0.0021389006750000003,0.04322687991012272
83,20.0%,0.1,sgd,0.0035191307000000025,0.14424456617646658
84,20.0%,0.15,lstm,0.14353079355833334,0.09119184439376989
85,20.0%,0.15,mnb,0.009874667475,0.07180071930083542
86,20.0%,0.15,sgd,0.023004284366666673,0.13824759678739346
87,20.0%,0.2,lstm,0.146544206775,0.08457212869333974
88,20.0%,0.2,mnb,0.041426411575,0.07471930197866632
89,20.0%,0.2,sgd,0.05544431559166667,0.13194385825113264
90,20.0%,0.25,lstm,0.16156192455,0.07124813958776795
91,20.0%,0.25,mnb,0.06985931300833334,0.06470532063252415
92,20.0%,0.25,sgd,0.10866247765833333,0.1075358872213371
93,20.0%,0.3,lstm,0.168283540125,0.06341648523464802
94,20.0%,0.3,mnb,0.17559343257499999,0.09423519859483886
95,20.0%,0.3,sgd,0.18005526670833333,0.16917688442478296
96,20.0%,0.35,lstm,0.1680986012,0.04909935882826236
97,20.0%,0.35,mnb,0.30856749433333336,0.12991307092397408
98,20.0%,0.35,sgd,0.300236618675,0.17348947736699824
99,20.0%,0.4,lstm,0.17847798408333335,0.04972607673148526
100,20.0%,0.4,mnb,0.5178120883916667,0.13837846788770872
101,20.0%,0.4,sgd,0.43332660309166665,0.16578787034860723
102,20.0%,0.45,lstm,0.18001498516666667,0.04176720741056843
103,20.0%,0.45,mnb,0.65646851675,0.1052098302496339
104,20.0%,0.45,sgd,0.582306100025,0.1351076868963094
105,20.0%,0.5,lstm,0.1761442894583333,0.04178307827433525
106,20.0%,0.5,mnb,0.7116618661500002,0.08736312036067483
107,20.0%,0.5,sgd,0.6706327524166668,0.1419845655695605
108,20.0%,0.55,lstm,0.18630548286666665,0.03257590023494607
109,20.0%,0.55,mnb,0.6268165406916667,0.1115970249707676
110,20.0%,0.55,sgd,0.5937522898416667,0.13582293858667746
111,20.0%,0.6,lstm,0.17835235008333333,0.03497559410977838
112,20.0%,0.6,mnb,0.47343117970833326,0.09347771272655943
113,20.0%,0.6,sgd,0.44923785440833336,0.07222701687275788
114,20.0%,0.65,lstm,0.18381879580000002,0.03384446089880354
115,20.0%,0.65,mnb,0.26893354816666665,0.056372046829636036
116,20.0%,0.65,sgd,0.29406543894166665,0.10185636821999963
117,30.0%,0.05,lstm,0.12933302259166665,0.17507267785398936
118,30.0%,0.05,mnb,0.01836119785,0.05497756100320169
119,30.0%,0.05,sgd,0.027323736800000005,0.0974166146070261
120,30.0%,0.1,lstm,0.18660181785,0.09836823743649689
121,30.0%,0.1,mnb,0.005464543099999998,0.04674726763083102
122,30.0%,0.1,sgd,0.03700235297499999,0.12952431773666787
123,30.0%,0.15,lstm,0.21690465308333332,0.08423363789119619
124,30.0%,0.15,mnb,0.015287942766666666,0.08426565090231515
125,30.0%,0.15,sgd,0.04716645451666667,0.16281531419229822
126,30.0%,0.2,lstm,0.22488190159166663,0.07259276151460636
127,30.0%,0.2,mnb,0.04446705175833334,0.07821743960406671
128,30.0%,0.2,sgd,0.09199720281666668,0.13650344680216758
129,30.0%,0.25,lstm,0.22280633374166667,0.07182382831587983
130,30.0%,0.25,mnb,0.10312895861666667,0.08186121566107374
131,30.0%,0.25,sgd,0.128034118275,0.13564088386754172
132,30.0%,0.3,lstm,0.25489952090833334,0.06089420132611831
133,30.0%,0.3,mnb,0.21874997908333332,0.10261455538071365
134,30.0%,0.3,sgd,0.2633941404,0.16914980549931874
135,30.0%,0.35,lstm,0.25691823399999997,0.05472630742645169
136,30.0%,0.35,mnb,0.3733512099833333,0.14454977646612077
137,30.0%,0.35,sgd,0.35811938765833334,0.18364808826361154
138,30.0%,0.4,lstm,0.25990570515833333,0.05126145128829646
139,30.0%,0.4,mnb,0.5833997084,0.14490488110316763
140,30.0%,0.4,sgd,0.513011232175,0.168792082335591
141,30.0%,0.45,lstm,0.27066269450833336,0.0425984223092569
142,30.0%,0.45,mnb,0.7406228438,0.10728485867359312
143,30.0%,0.45,sgd,0.6752204243250001,0.1219710448038294
144,30.0%,0.5,lstm,0.26936253355833334,0.04540926233790101
145,30.0%,0.5,mnb,0.8225213079499999,0.08252335129239528
146,30.0%,0.5,sgd,0.7842466450416665,0.09770023303763667
147,30.0%,0.55,lstm,0.2763288567583333,0.038908720725225415
148,30.0%,0.55,mnb,0.8151869419333333,0.07525980229838808
149,30.0%,0.55,sgd,0.7729942969583334,0.0995248291143323
150,30.0%,0.6,lstm,0.27123588011666666,0.037259701559496115
151,30.0%,0.6,mnb,0.76524065895,0.07043167823903472
152,30.0%,0.6,sgd,0.718647892875,0.1138268582987414
153,30.0%,0.65,lstm,0.2778988370666667,0.033039176117704426
