,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
0,10.0%,0.05,lstm,0.008883333333333335,0.015714414277724575
1,10.0%,0.05,mnb,5.000000000000004e-05,0.0011397973201558611
2,10.0%,0.05,sgd,-0.0013333333333333333,0.005353589407138905
3,10.0%,0.1,lstm,0.0074,0.020243943325827365
4,10.0%,0.1,mnb,0.0010833333333333335,0.0014147214501834611
5,10.0%,0.1,sgd,-0.00043333333333333337,0.0046917633868473075
6,10.0%,0.15,lstm,0.012216666666666666,0.020833777006769947
7,10.0%,0.15,mnb,0.0007333333333333336,0.0014125870942531561
8,10.0%,0.15,sgd,0.0008166666666666667,0.005004279777545818
9,10.0%,0.2,lstm,0.013200000000000002,0.012701886908427534
10,10.0%,0.2,mnb,0.001983333333333334,0.0013676265202351757
11,10.0%,0.2,sgd,0.00425,0.00859104385291791
12,10.0%,0.25,lstm,0.021333333333333336,0.014407453371213047
13,10.0%,0.25,mnb,0.0009666666666666666,0.00208828148012424
14,10.0%,0.25,sgd,0.005383333333333335,0.00933170654952441
15,10.0%,0.3,lstm,0.022399999999999996,0.015720292179437906
16,10.0%,0.3,mnb,0.004883333333333334,0.002605310668262217
17,10.0%,0.3,sgd,0.005933333333333334,0.008617077404114793
18,10.0%,0.35,lstm,0.026266666666666667,0.016718631632946547
19,10.0%,0.35,mnb,0.005100000000000001,0.00399655023652943
20,10.0%,0.35,sgd,0.0143,0.017719364042452695
21,10.0%,0.4,lstm,0.0334,0.014600661298202476
22,10.0%,0.4,mnb,0.01301666666666667,0.007437652731938991
23,10.0%,0.4,sgd,0.04106666666666667,0.0389143031352965
24,10.0%,0.45,lstm,0.03253333333333334,0.013942575167409016
25,10.0%,0.45,mnb,0.01626666666666667,0.009719100757798011
26,10.0%,0.45,sgd,0.09843333333333334,0.07692245684984386
27,10.0%,0.5,lstm,0.03868333333333333,0.020129530260434472
28,10.0%,0.5,mnb,0.03095,0.015043242267910017
29,10.0%,0.5,sgd,0.11115,0.08651959614585229
30,10.0%,0.55,lstm,0.0387,0.019039251651477164
31,10.0%,0.55,mnb,0.06281666666666666,0.029909485098386007
32,10.0%,0.55,sgd,0.13143333333333332,0.126796791902562
33,10.0%,0.6,lstm,0.050749999999999997,0.01506065323490548
34,10.0%,0.6,mnb,0.09410000000000002,0.03511395242880547
35,10.0%,0.6,sgd,0.08106666666666666,0.11405290161945066
36,10.0%,0.65,lstm,0.04625,0.01518889680677621
37,10.0%,0.65,mnb,0.15863333333333335,0.042448941608456636
38,10.0%,0.65,sgd,0.0966,0.11537983747844215
39,100.0%,0.05,lstm,0.037466666666666655,0.017854263150398512
40,100.0%,0.05,mnb,0.004666666666666667,0.00047946330148538425
41,100.0%,0.05,sgd,0.0017166666666666671,0.00601533003269969
42,100.0%,0.1,lstm,0.08518333333333333,0.02019366721034837
43,100.0%,0.1,mnb,0.008666666666666668,0.0027016384981548964
44,100.0%,0.1,sgd,0.004716666666666667,0.005400643852633545
45,100.0%,0.15,lstm,0.12318333333333334,0.019976487615976545
46,100.0%,0.15,mnb,0.010166666666666668,0.003767678635293962
47,100.0%,0.15,sgd,0.009750000000000002,0.00712420594486344
48,100.0%,0.2,lstm,0.16693333333333332,0.01238097353793822
49,100.0%,0.2,mnb,0.017333333333333336,0.003330458530441191
50,100.0%,0.2,sgd,0.015516666666666668,0.008477641316949579
51,100.0%,0.25,lstm,0.2128166666666667,0.01681259961300234
52,100.0%,0.25,mnb,0.01716666666666667,0.0015720255620746413
53,100.0%,0.25,sgd,0.022316666666666665,0.010673430865320747
