,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
0,10.0%,0.05,lstm,0.04325764693333333,0.07831905463915484
1,10.0%,0.05,mnb,0.00040373983333333313,0.00909200740907313
2,10.0%,0.05,sgd,-0.009695834499999998,0.03623754783890588
3,10.0%,0.1,lstm,0.027602136000000006,0.08101401530413366
4,10.0%,0.1,mnb,0.008405907733333332,0.011007216814631852
5,10.0%,0.1,sgd,-0.0033433487333333336,0.03009812653452867
6,10.0%,0.15,lstm,0.04123081406666666,0.0717823894194452
7,10.0%,0.15,mnb,0.005510630033333333,0.010782126438384563
8,10.0%,0.15,sgd,0.004800497566666667,0.03145260831328025
9,10.0%,0.2,lstm,0.04051487523333333,0.039036851041266744
10,10.0%,0.2,mnb,0.014403310066666666,0.009892721947731407
11,10.0%,0.2,sgd,0.024727035133333332,0.05051112044003524
12,10.0%,0.25,lstm,0.0572614342,0.03797574407295418
13,10.0%,0.25,mnb,0.0070538441666666675,0.015198317509534875
14,10.0%,0.25,sgd,0.029833168233333332,0.0504982005944948
15,10.0%,0.3,lstm,0.05522258616666667,0.03812471933788035
16,10.0%,0.3,mnb,0.03296971753333334,0.01653580399336236
17,10.0%,0.3,sgd,0.032491626700000005,0.047039267303815635
18,10.0%,0.35,lstm,0.05863409896666667,0.03649558161893342
19,10.0%,0.35,mnb,0.03326295766666667,0.025157070186024824
20,10.0%,0.35,sgd,0.06810240213333334,0.08289405667993631
21,10.0%,0.4,lstm,0.06942211913333333,0.029644515351057152
22,10.0%,0.4,mnb,0.07596521009999999,0.039918068751638475
23,10.0%,0.4,sgd,0.14930264623333336,0.1364827757302222
24,10.0%,0.45,lstm,0.06324263916666666,0.02630671767696717
25,10.0%,0.45,mnb,0.08870912140000001,0.04819710565616959
26,10.0%,0.45,sgd,0.26255509756666673,0.1492106212989228
27,10.0%,0.5,lstm,0.06924073706666665,0.03466749018261282
28,10.0%,0.5,mnb,0.13830257083333336,0.05212903715674567
29,10.0%,0.5,sgd,0.24729948653333336,0.17635606502807388
30,10.0%,0.55,lstm,0.06607523426666667,0.03181929316455889
31,10.0%,0.55,mnb,0.21867440050000003,0.07250012418894629
32,10.0%,0.55,sgd,0.2295002295,0.21506547509105695
33,10.0%,0.6,lstm,0.08061176580000001,0.023077467922039508
34,10.0%,0.6,mnb,0.27762387590000004,0.051731996162665814
35,10.0%,0.6,sgd,0.11895751696666669,0.18559200958168492
36,10.0%,0.65,lstm,0.06890884006666667,0.0219935106357678
37,10.0%,0.65,mnb,0.34891606613333326,0.03584178086771107
38,10.0%,0.65,sgd,0.13106197790000002,0.16618990037925965
39,100.0%,0.05,lstm,0.19081686313333338,0.0851605712906502
40,100.0%,0.05,mnb,0.03726992933333335,0.003697679955041366
41,100.0%,0.05,sgd,0.01060208233333333,0.04027912126587896
42,100.0%,0.1,lstm,0.35020868763333335,0.07015523402880824
43,100.0%,0.1,mnb,0.06670276833333331,0.01948923097832272
44,100.0%,0.1,sgd,0.029990862766666668,0.03405709263185368
45,100.0%,0.15,lstm,0.44211269813333337,0.05834877378443099
46,100.0%,0.15,mnb,0.07705098133333334,0.027093281644097474
47,100.0%,0.15,sgd,0.061011060000000006,0.04357901563189135
48,100.0%,0.2,lstm,0.5215945557666667,0.034297248271758195
49,100.0%,0.2,mnb,0.12526369466666668,0.021068857964144636
50,100.0%,0.2,sgd,0.0939097749,0.04815765121808126
51,100.0%,0.25,lstm,0.5777581885666667,0.033193399654092355
52,100.0%,0.25,mnb,0.12458617699999998,0.010070270907003645
53,100.0%,0.25,sgd,0.1288408683,0.05470553908398854
54,100.0%,0.3,lstm,0.6173198721333333,0.03547784686432901
55,100.0%,0.3,mnb,0.17326354400000007,0.044082232367105956
56,100.0%,0.3,sgd,0.1563864891,0.04028574598367973
57,100.0%,0.35,lstm,0.6488770038333332,0.027745484829474913
58,100.0%,0.35,mnb,0.1838372886666667,0.04863397502116929
59,100.0%,0.35,sgd,0.2554420447333333,0.05581550905928056
60,100.0%,0.4,lstm,0.6764152830666667,0.024726163922615098
61,100.0%,0.4,mnb,0.2529763976666667,0.085775551393311
62,100.0%,0.4,sgd,0.3986384814,0.08586570055267614
63,100.0%,0.45,lstm,0.7024865780666666,0.023114433429461623
64,100.0%,0.45,mnb,0.2960557726666667,0.08761829578704684
65,100.0%,0.45,sgd,0.5454686082333333,0.08839150315976395
66,100.0%,0.5,lstm,0.7215429189333336,0.023606293745074516
67,100.0%,0.5,mnb,0.41695487866666653,0.09723056763356802
68,100.0%,0.5,sgd,0.6401650758999999,0.061030001836510694
69,100.0%,0.55,lstm,0.7396591603333335,0.021416274262494192
70,100.0%,0.55,mnb,0.5167887936666665,0.14063203524492268
71,100.0%,0.55,sgd,0.6995789719333333,0.06236675880290701
72,100.0%,0.6,lstm,0.7534167193,0.02150097459753887
73,100.0%,0.6,mnb,0.6062690303333332,0.10768784361689761
74,100.0%,0.6,sgd,0.7550706430333334,0.038657775065251
75,100.0%,0.65,lstm,0.7653679206666665,0.021044843995204808
76,100.0%,0.65,mnb,0.7132611453333335,0.08699366961200229
77,100.0%,0.65,sgd,0.7877528038,0.01594932959721387
78,20.0%,0.05,lstm,0.04066820793333334,0.09105814679763462
79,20.0%,0.05,mnb,0.0065275710666666655,0.007736517330605654
80,20.0%,0.05,sgd,0.008549381566666665,0.040229920465377815
81,20.0%,0.1,lstm,0.07210678499999999,0.07630405561264902
82,20.0%,0.1,mnb,0.008972641899999998,0.011878303886158579
83,20.0%,0.1,sgd,0.0034272529333333334,0.03069713148205219
84,20.0%,0.15,lstm,0.07408993493333334,0.06043629608508241
85,20.0%,0.15,mnb,0.009993874166666666,0.014894889220533522
86,20.0%,0.15,sgd,0.0259448768,0.03521595575124675
87,20.0%,0.2,lstm,0.08458722116666667,0.03731245355158148
88,20.0%,0.2,mnb,0.028239564033333338,0.015951524113950757
89,20.0%,0.2,sgd,0.034445549900000004,0.042208276825293774
90,20.0%,0.25,lstm,0.10865913156666669,0.03954078170570452
91,20.0%,0.25,mnb,0.024445313399999998,0.016046042805224956
92,20.0%,0.25,sgd,0.04262617193333333,0.04750343076444128
93,20.0%,0.3,lstm,0.11997452576666666,0.036691974723042774
94,20.0%,0.3,mnb,0.056848493900000005,0.021340397136764576
95,20.0%,0.3,sgd,0.05443125906666666,0.04174194182753376
96,20.0%,0.35,lstm,0.12385416040000001,0.03635483024063733
97,20.0%,0.35,mnb,0.05994633620000001,0.03767297091304133
98,20.0%,0.35,sgd,0.12596875913333333,0.06411070927138644
99,20.0%,0.4,lstm,0.1313970902,0.03326198785290963
100,20.0%,0.4,mnb,0.11628523746666668,0.052305142401633045
101,20.0%,0.4,sgd,0.23333599413333334,0.10212058986104182
102,20.0%,0.45,lstm,0.12718528426666664,0.0299622720993919
103,20.0%,0.45,mnb,0.14870494743333332,0.07442883136592647
104,20.0%,0.45,sgd,0.3651906164,0.12721283901891764
105,20.0%,0.5,lstm,0.1373335047333333,0.028984279016798557
106,20.0%,0.5,mnb,0.21830248916666667,0.0753054883561478
107,20.0%,0.5,sgd,0.4006924946333334,0.14707490233226025
108,20.0%,0.55,lstm,0.1304166801,0.03290451949890261
109,20.0%,0.55,mnb,0.3352142936333334,0.1121510478844435
110,20.0%,0.55,sgd,0.39426220919999994,0.17864252220877808
111,20.0%,0.6,lstm,0.14981605563333336,0.027737644023591166
112,20.0%,0.6,mnb,0.40546895550000006,0.07925295981129067
113,20.0%,0.6,sgd,0.40840733749999997,0.1479644238428351
114,20.0%,0.65,lstm,0.1438308521,0.02234923050284843
115,20.0%,0.65,mnb,0.513863548,0.05574564080303299
116,20.0%,0.65,sgd,0.29441803940000005,0.1539733520368601
117,30.0%,0.05,lstm,0.05222465843333335,0.09152249776463144
118,30.0%,0.05,mnb,0.006925977533333333,0.010570900244007864
119,30.0%,0.05,sgd,0.0007740828999999986,0.0337176330583207
120,30.0%,0.1,lstm,0.10536960719999998,0.05180973075476098
121,30.0%,0.1,mnb,0.013828654100000002,0.013540185631392488
122,30.0%,0.1,sgd,0.017335420066666666,0.025722637606401255
123,30.0%,0.15,lstm,0.11270781143333332,0.0637562867543739
124,30.0%,0.15,mnb,0.0219866577,0.011428358741023934
125,30.0%,0.15,sgd,0.01977181823333334,0.04075868919389976
126,30.0%,0.2,lstm,0.13782339003333333,0.041778694248373126
127,30.0%,0.2,mnb,0.0347314325,0.01458709600804208
128,30.0%,0.2,sgd,0.038970674133333334,0.044364176237719745
129,30.0%,0.25,lstm,0.16932971363333332,0.04209234367484247
130,30.0%,0.25,mnb,0.038569400833333316,0.017101867219773016
131,30.0%,0.25,sgd,0.045921077033333334,0.05466014947468502
132,30.0%,0.3,lstm,0.17927500806666666,0.03364170904644342
133,30.0%,0.3,mnb,0.07613541426666666,0.028036743080516437
134,30.0%,0.3,sgd,0.08619333416666666,0.04027997750642124
135,30.0%,0.35,lstm,0.18463287486666669,0.034318884249677405
136,30.0%,0.35,mnb,0.08572142669999999,0.03840194732409335
137,30.0%,0.35,sgd,0.16059006313333332,0.05354423302321788
138,30.0%,0.4,lstm,0.1973624087,0.030201937668398755
139,30.0%,0.4,mnb,0.14879019053333334,0.06505157304773458
140,30.0%,0.4,sgd,0.2890723604,0.10357977001382714
141,30.0%,0.45,lstm,0.19144210513333337,0.028319353474228936
142,30.0%,0.45,mnb,0.18328516843333337,0.07170664627157197
143,30.0%,0.45,sgd,0.4413195036,0.11228320495371746
144,30.0%,0.5,lstm,0.2097775278333333,0.025646258334599818
145,30.0%,0.5,mnb,0.27473466729999996,0.08962620913056907
146,30.0%,0.5,sgd,0.5161895059,0.08519862661836626
