,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
0,10.0%,0.05,cnn,0.001421383647798734,0.007214291063005147
1,10.0%,0.05,dt,0.004718749999999985,0.007760302038957551
2,10.0%,0.05,lr,0.0006687499999999925,0.0017987482544866602
3,10.0%,0.05,rf,-0.00025193798449612165,0.00347599133286085
4,10.0%,0.05,svc,0.0003031249999999931,0.0026291166432661924
5,10.0%,0.1,cnn,0.001661392405063286,0.0075024983073244825
6,10.0%,0.1,dt,0.0031124999999999864,0.010323227458369416
7,10.0%,0.1,lr,0.0013593749999999774,0.0020390618410984626
8,10.0%,0.1,rf,0.001063829787234025,0.003595558303473553
9,10.0%,0.1,svc,0.00104062499999999,0.0027426126476810444
10,10.0%,0.15,cnn,0.0032093749999999957,0.01146027756518439
11,10.0%,0.15,dt,0.002209374999999995,0.010423798344843487
12,10.0%,0.15,lr,0.0024281249999999867,0.0027631030745574534
13,10.0%,0.15,rf,0.0017483221476509926,0.0036025629770522604
14,10.0%,0.15,svc,0.0011249999999999945,0.0036536360798215075
15,10.0%,0.2,cnn,0.00628437499999999,0.01902957164760138
16,10.0%,0.2,dt,0.008499999999999988,0.018894110759272238
17,10.0%,0.2,lr,0.00529062499999998,0.005179019077067467
18,10.0%,0.2,rf,0.0037233333333333216,0.0062249596819983835
19,10.0%,0.2,svc,0.0020093749999999903,0.0034378909154510326
20,10.0%,0.25,cnn,0.019918749999999985,0.03618709625729301
21,10.0%,0.25,dt,0.01987187499999999,0.0420980155672599
22,10.0%,0.25,lr,0.010284374999999962,0.00961910145566963
23,10.0%,0.25,rf,0.01161392405063289,0.01415405444087359
24,10.0%,0.25,svc,0.00586874999999997,0.006750608521370856
25,10.0%,0.3,cnn,0.02159062499999997,0.03843240704869527
26,10.0%,0.3,dt,0.025896874999999975,0.037835713091489476
27,10.0%,0.3,lr,0.018265624999999962,0.014470195118820242
28,10.0%,0.3,rf,0.022321874999999963,0.0236085307891451
29,10.0%,0.3,svc,0.012468749999999973,0.014701290695486823
30,10.0%,0.35,cnn,0.04237812499999997,0.045815659721404715
31,10.0%,0.35,dt,0.04607187499999997,0.049391226236718044
32,10.0%,0.35,lr,0.03729062499999997,0.022398862271406986
33,10.0%,0.35,rf,0.04137187499999997,0.03128225363826397
34,10.0%,0.35,svc,0.04125624999999996,0.0440939886481781
35,10.0%,0.4,cnn,0.07049062499999996,0.05800643728848131
36,10.0%,0.4,dt,0.053368749999999965,0.04621043225011141
37,10.0%,0.4,lr,0.06324062499999994,0.028287827230422627
38,10.0%,0.4,rf,0.06890624999999993,0.030722084915778877
39,10.0%,0.4,svc,0.07531249999999995,0.05759197593262364
40,10.0%,0.45,cnn,0.08996249999999997,0.0659922939564554
41,10.0%,0.45,dt,0.04595937499999997,0.043979911504675825
42,10.0%,0.45,lr,0.09752812499999994,0.030259373872472777
43,10.0%,0.45,rf,0.10129374999999996,0.03045077414822841
44,10.0%,0.45,svc,0.10909374999999996,0.04395527985758357
45,10.0%,0.5,cnn,0.11876249999999997,0.08647784734694201
46,10.0%,0.5,dt,0.15649687499999998,0.13938494158214687
47,10.0%,0.5,lr,0.14233437499999999,0.052139288590287255
48,10.0%,0.5,rf,0.14679999999999999,0.07278656659528297
49,10.0%,0.5,svc,0.15393124999999996,0.06846767330453
50,10.0%,0.55,cnn,0.13149374999999996,0.08879647755457774
51,10.0%,0.55,dt,0.15946249999999995,0.14327342850111952
52,10.0%,0.55,lr,0.14695312499999996,0.06044420986245272
53,10.0%,0.55,rf,0.15098749999999994,0.08767609324692807
54,10.0%,0.55,svc,0.15017499999999995,0.07289080745416912
55,10.0%,0.6,cnn,0.10390937499999997,0.06391532999533014
56,10.0%,0.6,dt,0.05275937499999996,0.051863026294868914
57,10.0%,0.6,lr,0.11678437499999997,0.04336983061016136
58,10.0%,0.6,rf,0.11599687499999996,0.057982877999598746
59,10.0%,0.6,svc,0.12968437499999996,0.06967755072531337
60,10.0%,0.65,cnn,0.07978124999999996,0.051672398368419616
61,10.0%,0.65,dt,0.054612499999999974,0.03332038820962702
62,10.0%,0.65,lr,0.07699062499999997,0.01825229130744133
63,10.0%,0.65,rf,0.07606874999999996,0.022495735969122087
64,10.0%,0.65,svc,0.06842499999999996,0.01942775684038322
65,100.0%,0.05,cnn,0.008295597484276699,0.008109654707971543
66,100.0%,0.05,dt,0.017465624999999964,0.011384796476085403
67,100.0%,0.05,lr,0.0037624999999999907,0.00379504393789662
68,100.0%,0.05,rf,0.0010155038759689708,0.003707012982434478
69,100.0%,0.05,svc,0.005231249999999963,0.004621826635275377
70,100.0%,0.1,cnn,0.011756329113924017,0.009022572073468309
71,100.0%,0.1,dt,0.023178124999999956,0.01414884341729634
72,100.0%,0.1,lr,0.006306249999999977,0.0035488449267987603
73,100.0%,0.1,rf,0.002787234042553167,0.005620509014363992
74,100.0%,0.1,svc,0.006799999999999961,0.006012094728035151
75,100.0%,0.15,cnn,0.019099999999999964,0.012834186853917075
76,100.0%,0.15,dt,0.03248124999999995,0.014836412743037342
77,100.0%,0.15,lr,0.010690624999999981,0.005294732126006332
78,100.0%,0.15,rf,0.005479865771812052,0.005975705090883597
79,100.0%,0.15,svc,0.007999999999999964,0.006074485251375833
80,100.0%,0.2,cnn,0.03447187499999997,0.02427717610186844
81,100.0%,0.2,dt,0.04686874999999997,0.028642806043583005
82,100.0%,0.2,lr,0.022034374999999988,0.014000687525234085
83,100.0%,0.2,rf,0.011743333333333302,0.009656123811827969
84,100.0%,0.2,svc,0.013662499999999966,0.009465187788639693
85,100.0%,0.25,cnn,0.07292187499999996,0.055696999989074986
86,100.0%,0.25,dt,0.07706249999999996,0.0642680547522268
87,100.0%,0.25,lr,0.039509374999999965,0.02493901189045643
88,100.0%,0.25,rf,0.030306962025316426,0.027682672078162603
89,100.0%,0.25,svc,0.02457499999999995,0.016473554183034807
90,100.0%,0.3,cnn,0.09747499999999996,0.06086767274100153
91,100.0%,0.3,dt,0.11264374999999997,0.07524518387605204
92,100.0%,0.3,lr,0.059543749999999965,0.03546423424208338
93,100.0%,0.3,rf,0.05453124999999996,0.046902135751480604
94,100.0%,0.3,svc,0.03860937499999995,0.02776896325687432
95,100.0%,0.35,cnn,0.166328125,0.09835747033807363
96,100.0%,0.35,dt,0.180509375,0.14452271776192302
97,100.0%,0.35,lr,0.11725312499999999,0.07395034873631952
98,100.0%,0.35,rf,0.11722187499999999,0.09748637619499494
99,100.0%,0.35,svc,0.09640937499999995,0.08093138781831258
100,100.0%,0.4,cnn,0.24593125,0.11233115194166257
101,100.0%,0.4,dt,0.22775312499999995,0.16054346574273487
102,100.0%,0.4,lr,0.18655625,0.09041031532919533
103,100.0%,0.4,rf,0.18889999999999998,0.11627177283086684
104,100.0%,0.4,svc,0.16857187499999998,0.10773188894581462
105,100.0%,0.45,cnn,0.34647187499999993,0.10241115564963474
106,100.0%,0.45,dt,0.27568125,0.16647387737265051
107,100.0%,0.45,lr,0.297496875,0.10432498655816658
108,100.0%,0.45,rf,0.307109375,0.10705806735491932
109,100.0%,0.45,svc,0.29261875,0.11571536439978963
110,100.0%,0.5,cnn,0.47283125000000004,0.0852341924978158
111,100.0%,0.5,dt,0.4451312499999999,0.1160056722683321
112,100.0%,0.5,lr,0.4422062500000001,0.11003031868477989
113,100.0%,0.5,rf,0.46251875,0.09057034320134857
114,100.0%,0.5,svc,0.449209375,0.11364042475268958
115,100.0%,0.55,cnn,0.5924875000000001,0.09890113146486974
116,100.0%,0.55,dt,0.5970093750000001,0.17266616708975896
117,100.0%,0.55,lr,0.5671687500000001,0.13530168814925314
118,100.0%,0.55,rf,0.5937093750000001,0.1183355009794599
119,100.0%,0.55,svc,0.5819281249999999,0.14320662653402155
120,100.0%,0.6,cnn,0.691028125,0.12270876508183436
121,100.0%,0.6,dt,0.644484375,0.18501066960457024
122,100.0%,0.6,lr,0.661403125,0.1699860658077282
123,100.0%,0.6,rf,0.6984593749999999,0.15203447320799346
124,100.0%,0.6,svc,0.6918,0.19161168639929005
125,100.0%,0.65,cnn,0.7695343749999999,0.11464858972265242
126,100.0%,0.65,dt,0.706034375,0.1695190859727626
