,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
0,10.0%,0.05,cnn,0.008434814305752002,0.5327301409654857
1,10.0%,0.05,dt,0.13414509247558315,0.1861956528597705
2,10.0%,0.05,lr,0.005038748191265407,0.39088558296965065
3,10.0%,0.05,rf,0.07169571069327407,0.2516460479027154
4,10.0%,0.05,svc,-0.009649542818425045,0.19207280537108784
5,10.0%,0.1,cnn,-0.1275215922794374,1.1019641350279403
6,10.0%,0.1,dt,0.042494007619515564,0.21645249433854738
7,10.0%,0.1,lr,0.08981262755342291,0.15516103452944469
8,10.0%,0.1,rf,0.09820275848668639,0.388021488162556
9,10.0%,0.1,svc,0.018352075891466098,0.21533094412157536
10,10.0%,0.15,cnn,-0.07503396133930071,0.9452242713708245
11,10.0%,0.15,dt,0.010173122040783304,0.27229887161572464
12,10.0%,0.15,lr,0.0768945373498045,0.2077009953487336
13,10.0%,0.15,rf,0.1648196115482193,0.33885997621723557
14,10.0%,0.15,svc,-0.03554162148447014,0.3908776312224096
15,10.0%,0.2,cnn,-0.061033794711331725,0.771843125300043
16,10.0%,0.2,dt,0.056528611111103966,0.22898910009896134
17,10.0%,0.2,lr,0.10754878610565888,0.1255676386528817
18,10.0%,0.2,rf,0.1910072316850274,0.34499848642303327
19,10.0%,0.2,svc,0.06851056600999565,0.18987507595212974
20,10.0%,0.25,cnn,0.09507390007080818,0.5568838239103016
21,10.0%,0.25,dt,0.0689397026999925,0.28786923994137376
22,10.0%,0.25,lr,0.15515391619255903,0.1389956402086981
23,10.0%,0.25,rf,0.23783673528448865,0.3226668475947016
24,10.0%,0.25,svc,0.1093510973556056,0.19020268550334507
25,10.0%,0.3,cnn,0.09893596976810179,0.38390093600778924
26,10.0%,0.3,dt,0.14175588516782353,0.202815547503316
27,10.0%,0.3,lr,0.1941948111490567,0.15115141818477337
28,10.0%,0.3,rf,0.290252295235825,0.24441683143203066
29,10.0%,0.3,svc,0.1944492200296089,0.19371421812586256
30,10.0%,0.35,cnn,0.1723851471516678,0.2806243285463759
31,10.0%,0.35,dt,0.16381348336678644,0.1785773439655204
32,10.0%,0.35,lr,0.22934773353453455,0.13088030319064475
33,10.0%,0.35,rf,0.3096006926385854,0.2047669249636938
34,10.0%,0.35,svc,0.2848778821380824,0.24062445045980005
35,10.0%,0.4,cnn,0.2544951995644178,0.20787406140513798
36,10.0%,0.4,dt,0.17802706891885056,0.1874389979006317
37,10.0%,0.4,lr,0.26184384589873855,0.12567774922933853
38,10.0%,0.4,rf,0.3399744501565605,0.19506177236198832
39,10.0%,0.4,svc,0.3690382814985244,0.23530831022622314
40,10.0%,0.45,cnn,0.2413896452772908,0.20874741256601068
41,10.0%,0.45,dt,0.10217609808472372,0.24060398676658376
42,10.0%,0.45,lr,0.27430424520270685,0.11918231848418924
43,10.0%,0.45,rf,0.3134781790829046,0.18040766726203544
44,10.0%,0.45,svc,0.3328066218977905,0.20713513581324283
45,10.0%,0.5,cnn,0.22874263364655195,0.15917147174672672
46,10.0%,0.5,dt,0.30176743582585674,0.2684357459459006
47,10.0%,0.5,lr,0.27531252680294693,0.10556396122587228
48,10.0%,0.5,rf,0.284450726704385,0.14990143015175272
49,10.0%,0.5,svc,0.2966720737347858,0.14196371924761617
50,10.0%,0.55,cnn,0.19769441529719414,0.11919221202199703
51,10.0%,0.55,dt,0.21239230752938149,0.16387510697338853
52,10.0%,0.55,lr,0.2233466250671306,0.0741301414039491
53,10.0%,0.55,rf,0.22125924717989598,0.1071589773272608
54,10.0%,0.55,svc,0.22185760799715096,0.08870112659550279
55,10.0%,0.6,cnn,0.13596176369554702,0.07414606566868824
56,10.0%,0.6,dt,0.06904594328596773,0.06112928182048883
57,10.0%,0.6,lr,0.15545830936054572,0.04062052777482245
58,10.0%,0.6,rf,0.1467671501113444,0.055652801393969435
59,10.0%,0.6,svc,0.16206655175387782,0.06309055950399144
60,10.0%,0.65,cnn,0.0963473997557634,0.057371406666182595
61,10.0%,0.65,dt,0.0688885520762444,0.040007388648249737
62,10.0%,0.65,lr,0.09480001817476687,0.016707467205876167
63,10.0%,0.65,rf,0.09072620207681537,0.023577423867429094
64,10.0%,0.65,svc,0.08226673487373701,0.020433206511155124
65,100.0%,0.05,cnn,0.48698540935860085,0.4382878046260852
66,100.0%,0.05,dt,0.5000604111858723,0.43328676767567365
67,100.0%,0.05,lr,0.4125527351318555,0.46565386007125287
68,100.0%,0.05,rf,0.21176507395317007,0.38840074690906706
69,100.0%,0.05,svc,0.49245530493957024,0.4529585275635714
70,100.0%,0.1,cnn,0.5266630903727774,0.40253245133197835
71,100.0%,0.1,dt,0.5174793799480532,0.41639349516756274
72,100.0%,0.1,lr,0.4868516416580816,0.44809333992792
73,100.0%,0.1,rf,0.26928690198817323,0.40783761271044894
74,100.0%,0.1,svc,0.48838433622804384,0.43864676292842325
75,100.0%,0.15,cnn,0.5831751047641776,0.3686331978185263
76,100.0%,0.15,dt,0.5558095663443814,0.401747265731183
77,100.0%,0.15,lr,0.5127845299754309,0.44735047508354275
78,100.0%,0.15,rf,0.4063557188480751,0.44014699296646
79,100.0%,0.15,svc,0.4689220082380102,0.43057296687013247
80,100.0%,0.2,cnn,0.6416933513065328,0.3390835885735176
81,100.0%,0.2,dt,0.5813955710894314,0.3862890600063964
82,100.0%,0.2,lr,0.5471626003633603,0.43396527456668776
83,100.0%,0.2,rf,0.4274113014759714,0.42402022610970147
84,100.0%,0.2,svc,0.5406653799521439,0.4248565930487131
85,100.0%,0.25,cnn,0.7055050267474064,0.2955792855785407
86,100.0%,0.25,dt,0.6208582339197626,0.3562332721311136
87,100.0%,0.25,lr,0.5813300037259111,0.41027323411178884
88,100.0%,0.25,rf,0.5364529513322551,0.38097623506685496
89,100.0%,0.25,svc,0.5909857531500083,0.399473704430016
90,100.0%,0.3,cnn,0.7468720936630605,0.2584211637370504
91,100.0%,0.3,dt,0.6527333874061656,0.33403264262872356
92,100.0%,0.3,lr,0.6151470950074683,0.3819497052186433
93,100.0%,0.3,rf,0.6158021497237922,0.36454986501308984
94,100.0%,0.3,svc,0.6214323959537037,0.37507663199932034
95,100.0%,0.35,cnn,0.805812992904678,0.20383299884694428
96,100.0%,0.35,dt,0.6955619602774932,0.3002797158917921
97,100.0%,0.35,lr,0.6770075405472878,0.32380046124827283
98,100.0%,0.35,rf,0.700951795038752,0.3016283737516897
99,100.0%,0.35,svc,0.669710866836897,0.3278841774608828
100,100.0%,0.4,cnn,0.8462520557766651,0.16712491924019737
101,100.0%,0.4,dt,0.7308718388871777,0.2736726327166586
102,100.0%,0.4,lr,0.7328856792156044,0.2710991693834285
103,100.0%,0.4,rf,0.769156417737838,0.23799536471287697
104,100.0%,0.4,svc,0.7323091586918246,0.2742454628250933
105,100.0%,0.45,cnn,0.8846354565808536,0.12467683880195449
106,100.0%,0.45,dt,0.7825456308498061,0.2153713470705101
107,100.0%,0.45,lr,0.7948010987315419,0.20878846861594547
108,100.0%,0.45,rf,0.8343088700608619,0.16973061077940624
109,100.0%,0.45,svc,0.7955825998792573,0.2093733987040255
110,100.0%,0.5,cnn,0.9129970960378815,0.09355129038128568
111,100.0%,0.5,dt,0.8288674826468663,0.1716462389031886
112,100.0%,0.5,lr,0.8448877001604135,0.15959026661595016
113,100.0%,0.5,rf,0.8765058060944171,0.12588398428859165
114,100.0%,0.5,svc,0.8472069317439654,0.15809605664495718
115,100.0%,0.55,cnn,0.9278234271930001,0.07664860829191682
116,100.0%,0.55,dt,0.8581515986910022,0.14180722566767306
117,100.0%,0.55,lr,0.8700862282211034,0.13152642868625683
118,100.0%,0.55,rf,0.8976085799040406,0.10360842917209094
119,100.0%,0.55,svc,0.8723360207102946,0.12994841691126077
120,100.0%,0.6,cnn,0.9354725771611114,0.0706706757488333
121,100.0%,0.6,dt,0.8660686278914452,0.13531355560886182
122,100.0%,0.6,lr,0.8824438476847873,0.12122300469081282
123,100.0%,0.6,rf,0.9099553400875784,0.09217723790434126
124,100.0%,0.6,svc,0.8849567380280317,0.11961644982972709
125,100.0%,0.65,cnn,0.943942431019333,0.05959577668035526
126,100.0%,0.65,dt,0.879667622186837,0.12011409484274399
127,100.0%,0.65,lr,0.8964827825147605,0.10426819515676468
128,100.0%,0.65,rf,0.91991021675298,0.08093661050224435
129,100.0%,0.65,svc,0.8982583072855135,0.10288223524402049
130,20.0%,0.05,cnn,-0.04679991362999402,1.2126036263735978
131,20.0%,0.05,dt,0.16488592991124373,0.22177210103925413
132,20.0%,0.05,lr,0.029211326720638385,0.4492695425932803
133,20.0%,0.05,rf,0.1379226711005416,0.30447621965069327
134,20.0%,0.05,svc,-0.001913325575237236,0.3061337180407915
135,20.0%,0.1,cnn,0.06114485573572983,0.9888853699707599
136,20.0%,0.1,dt,0.0916768533403511,0.25345524235748995
137,20.0%,0.1,lr,0.13783986994346117,0.23165598651427696
138,20.0%,0.1,rf,0.19067433651678747,0.37720037275658747
139,20.0%,0.1,svc,0.005855256986379664,0.24092908360363396
140,20.0%,0.15,cnn,0.09608007994874415,0.7102534686958372
141,20.0%,0.15,dt,0.058564149393819,0.2904562388522197
142,20.0%,0.15,lr,0.16675164401672973,0.2563781007980061
143,20.0%,0.15,rf,0.261024432348298,0.39330135301625335
144,20.0%,0.15,svc,0.06376964052103225,0.29576489865427785
145,20.0%,0.2,cnn,0.17818515118092212,0.641894754349876
146,20.0%,0.2,dt,0.1193413485897962,0.22895141106699404
147,20.0%,0.2,lr,0.20223877260851442,0.19414313216680806
148,20.0%,0.2,rf,0.29928209995780575,0.39086451510175074
149,20.0%,0.2,svc,0.1625446127763917,0.23073379744952313
150,20.0%,0.25,cnn,0.2731305664013191,0.39871720764018515
151,20.0%,0.25,dt,0.15455759979925868,0.2721779125278153
152,20.0%,0.25,lr,0.27714061402942913,0.2279190060109005
153,20.0%,0.25,rf,0.36749125284373985,0.37401717887585234
154,20.0%,0.25,svc,0.1923680342626848,0.22891339608058242
155,20.0%,0.3,cnn,0.34678167310995667,0.277404305227716
156,20.0%,0.3,dt,0.2781741733878737,0.25997469255571914
157,20.0%,0.3,lr,0.3268770420834993,0.2335557686272247
158,20.0%,0.3,rf,0.4493337810297001,0.3248470374327124
159,20.0%,0.3,svc,0.28182523673141996,0.26013180726711876
160,20.0%,0.35,cnn,0.3582315645194584,0.2827304311547264
161,20.0%,0.35,dt,0.29970811089372845,0.22216299073933307
162,20.0%,0.35,lr,0.38806005201067895,0.20580641217046097
163,20.0%,0.35,rf,0.4911429944993907,0.2714965904614012
164,20.0%,0.35,svc,0.4258382886112752,0.30444990765611973
165,20.0%,0.4,cnn,0.4461588152316507,0.19703727892297693
166,20.0%,0.4,dt,0.2810766170484353,0.22432800469753322
167,20.0%,0.4,lr,0.4427693013938871,0.20521551746242056
168,20.0%,0.4,rf,0.5422492421101786,0.24250725100019602
169,20.0%,0.4,svc,0.5422710025788856,0.29773715004513823
170,20.0%,0.45,cnn,0.4438297615181506,0.1950794584912804
171,20.0%,0.45,dt,0.2438690261918241,0.20304157477829488
172,20.0%,0.45,lr,0.4722540732922246,0.16427432945628181
173,20.0%,0.45,rf,0.530878918421052,0.2133496753242194
174,20.0%,0.45,svc,0.5508255052755693,0.24032569050671962
175,20.0%,0.5,cnn,0.462702031349445,0.17337424295164724
176,20.0%,0.5,dt,0.42851762048428677,0.26611963284799495
177,20.0%,0.5,lr,0.49505877011359534,0.14599250784309328
178,20.0%,0.5,rf,0.5219425798307583,0.19685366190190642
179,20.0%,0.5,svc,0.5461004155288771,0.20403726906869493
180,20.0%,0.55,cnn,0.41720078924230436,0.17690417743389994
181,20.0%,0.55,dt,0.43260352163923416,0.26801340576821253
182,20.0%,0.55,lr,0.4520336641013591,0.12721972145970428
