,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
0,10.0%,0.05,cnn,0.0033333333333333036,0.005481714640721342
1,10.0%,0.05,dt,0.0009599999999999936,0.00304490529834047
2,10.0%,0.05,lr,0.00015666666666666663,0.00082699428065124
3,10.0%,0.05,rf,0.0010066666666666629,0.001985279157532568
4,10.0%,0.05,svc,0.0009399999999999911,0.0009593819849796023
5,10.0%,0.1,cnn,0.006576666666666631,0.006797092853887424
6,10.0%,0.1,dt,0.001386666666666647,0.0035743080674333757
7,10.0%,0.1,lr,0.0017533333333333027,0.002133595529864401
8,10.0%,0.1,rf,0.0019799999999999865,0.0031452646399265306
9,10.0%,0.1,svc,0.0020133333333332967,0.0017030871225883776
10,10.0%,0.15,cnn,0.008143333333333298,0.01156781156346415
11,10.0%,0.15,dt,0.0030566666666666294,0.0041853342744045605
12,10.0%,0.15,lr,0.003279999999999977,0.003325906669227751
13,10.0%,0.15,rf,0.00339999999999998,0.004901723834705906
14,10.0%,0.15,svc,0.003939999999999947,0.0025152774577877316
15,10.0%,0.2,cnn,0.011289999999999963,0.011213826133471293
16,10.0%,0.2,dt,0.004086666666666644,0.006424937049649101
17,10.0%,0.2,lr,0.0060866666666666595,0.0074572683051310745
18,10.0%,0.2,rf,0.006086666666666623,0.007811076720928425
19,10.0%,0.2,svc,0.005069999999999953,0.002502708877224414
20,10.0%,0.25,cnn,0.013476666666666626,0.017208311611129845
21,10.0%,0.25,dt,0.010933333333333312,0.013182834537260215
22,10.0%,0.25,lr,0.008203333333333273,0.007869473247645108
23,10.0%,0.25,rf,0.007533333333333313,0.009122550056877175
24,10.0%,0.25,svc,0.01301999999999996,0.013307462257099875
25,10.0%,0.3,cnn,0.014716666666666644,0.013941876471272785
26,10.0%,0.3,dt,0.015386666666666639,0.017561080269444845
27,10.0%,0.3,lr,0.011323333333333265,0.012082551778132984
28,10.0%,0.3,rf,0.013243333333333308,0.015195568395113573
29,10.0%,0.3,svc,0.0354533333333333,0.02169879598333596
30,10.0%,0.35,cnn,0.02246999999999998,0.019692745907549547
31,10.0%,0.35,dt,0.01503333333333328,0.013752124182839174
32,10.0%,0.35,lr,0.018066666666666637,0.017436966940725492
33,10.0%,0.35,rf,0.01854333333333329,0.02146096188565348
34,10.0%,0.35,svc,0.03461999999999995,0.021456345416232703
35,10.0%,0.4,cnn,0.032523333333333314,0.029791223925654777
36,10.0%,0.4,dt,0.0279433333333333,0.028651420899149654
37,10.0%,0.4,lr,0.02613666666666662,0.022482966477073152
38,10.0%,0.4,rf,0.024879999999999958,0.024559377729958025
39,10.0%,0.4,svc,0.07699333333333326,0.04720290707977221
40,10.0%,0.45,cnn,0.03201666666666663,0.023673236501095103
41,10.0%,0.45,dt,0.029453333333333314,0.03446364134435945
42,10.0%,0.45,lr,0.03367333333333329,0.023329852613947353
43,10.0%,0.45,rf,0.033033333333333276,0.02509136866751584
44,10.0%,0.45,svc,0.09390999999999995,0.06578938888342989
45,10.0%,0.5,cnn,0.04899999999999997,0.031514649029431935
46,10.0%,0.5,dt,0.027169999999999972,0.03204529283847237
47,10.0%,0.5,lr,0.05069999999999995,0.03362198582824166
48,10.0%,0.5,rf,0.04944666666666663,0.034163064682574164
49,10.0%,0.5,svc,0.17612999999999987,0.08131751794132636
50,10.0%,0.55,cnn,0.057723333333333286,0.03008536914816917
51,10.0%,0.55,dt,0.08640333333333323,0.0669520285460925
52,10.0%,0.55,lr,0.0677433333333333,0.04389518615766532
53,10.0%,0.55,rf,0.07111333333333328,0.046952894467227224
54,10.0%,0.55,svc,0.09658000000000001,0.06994113978541354
55,10.0%,0.6,cnn,0.07331999999999995,0.040273893315131835
56,10.0%,0.6,dt,0.0849666666666666,0.05473848380431633
57,10.0%,0.6,lr,0.08296999999999995,0.050204046752675494
58,10.0%,0.6,rf,0.08510999999999996,0.05427903227607865
59,10.0%,0.6,svc,0.06379666666666664,0.03930343043142874
60,10.0%,0.65,cnn,0.08131333333333328,0.03637287482435924
61,10.0%,0.65,dt,0.07222333333333329,0.041600428407387355
62,10.0%,0.65,lr,0.08736999999999999,0.04781745569314115
63,10.0%,0.65,rf,0.09840333333333327,0.057432656115713
64,10.0%,0.65,svc,0.04076666666666665,0.0486280062156135
65,100.0%,0.05,cnn,0.01707666666666661,0.013467705519279177
66,100.0%,0.05,dt,0.01284666666666663,0.0059590981343415235
67,100.0%,0.05,lr,0.0076366666666666215,0.0061168215395846475
68,100.0%,0.05,rf,0.0039199999999999695,0.0038018507289893774
69,100.0%,0.05,svc,0.006669999999999936,0.002345082896851097
70,100.0%,0.1,cnn,0.03326666666666663,0.024013262619002756
71,100.0%,0.1,dt,0.016366666666666627,0.004464289983577613
72,100.0%,0.1,lr,0.011946666666666595,0.007409766776232631
73,100.0%,0.1,rf,0.008719999999999941,0.00820476732738667
74,100.0%,0.1,svc,0.012063333333333271,0.0028691562298460466
75,100.0%,0.15,cnn,0.05233333333333328,0.04351506543187349
76,100.0%,0.15,dt,0.023416666666666603,0.010113189862521244
77,100.0%,0.15,lr,0.019189999999999947,0.011834093062870909
78,100.0%,0.15,rf,0.013989999999999966,0.01393621800969664
79,100.0%,0.15,svc,0.02288999999999993,0.004821814653398053
80,100.0%,0.2,cnn,0.06682999999999996,0.054333492242909856
81,100.0%,0.2,dt,0.0325533333333333,0.01920473600593019
82,100.0%,0.2,lr,0.030869999999999963,0.024223444756311344
83,100.0%,0.2,rf,0.02288333333333327,0.022807410824241932
84,100.0%,0.2,svc,0.03684999999999997,0.004662524845084953
85,100.0%,0.25,cnn,0.08451999999999997,0.06771045047441553
86,100.0%,0.25,dt,0.0483933333333333,0.03325818471556607
87,100.0%,0.25,lr,0.0379166666666666,0.026835605315395403
88,100.0%,0.25,rf,0.028346666666666617,0.02701755155364792
89,100.0%,0.25,svc,0.059543333333333275,0.023398109020754787
90,100.0%,0.3,cnn,0.10442999999999997,0.08199430236723561
91,100.0%,0.3,dt,0.06621666666666665,0.05318116780586341
92,100.0%,0.3,lr,0.05412999999999992,0.04243824031907204
93,100.0%,0.3,rf,0.0468033333333333,0.04943697125064178
94,100.0%,0.3,svc,0.09454666666666661,0.038236809610575545
95,100.0%,0.35,cnn,0.13579666666666662,0.10795855361596214
96,100.0%,0.35,dt,0.07999333333333329,0.06512727556860111
97,100.0%,0.35,lr,0.07632666666666663,0.060016008975383665
98,100.0%,0.35,rf,0.06433999999999994,0.06624971880226595
99,100.0%,0.35,svc,0.15587999999999994,0.043688556064883664
100,100.0%,0.4,cnn,0.1662,0.12362976151006069
101,100.0%,0.4,dt,0.10375333333333334,0.09218445801137291
102,100.0%,0.4,lr,0.10083333333333327,0.07979253846947283
103,100.0%,0.4,rf,0.08407999999999995,0.08208649517219731
104,100.0%,0.4,svc,0.25132666666666664,0.06330611962211233
105,100.0%,0.45,cnn,0.18655999999999995,0.12697801493117644
106,100.0%,0.45,dt,0.12103999999999994,0.1107751702541124
107,100.0%,0.45,lr,0.11883333333333329,0.08013382054664749
108,100.0%,0.45,rf,0.1058866666666666,0.0888977278842857
