,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
0,10.0%,0.05,cnn,0.027792641759282595,0.04629064596515356
1,10.0%,0.05,dt,0.004598011219643585,0.015193747248452835
2,10.0%,0.05,lr,0.0008426905474766832,0.005014132519292004
3,10.0%,0.05,rf,0.007653363718608022,0.01533562055054754
4,10.0%,0.05,svc,0.005599423603383063,0.0057402520019935975
5,10.0%,0.1,cnn,0.04915218479479688,0.04408821444826681
6,10.0%,0.1,dt,0.006501098784291709,0.017431046682357842
7,10.0%,0.1,lr,0.009856614632164301,0.011880481506819794
8,10.0%,0.1,rf,0.013987600337990147,0.023050787821709003
9,10.0%,0.1,svc,0.011632673186182274,0.009787512702601116
10,10.0%,0.15,cnn,0.04690864367963334,0.0628136700690433
11,10.0%,0.15,dt,0.013803504461235034,0.01965120092161238
12,10.0%,0.15,lr,0.017463165474769716,0.01689939535968908
13,10.0%,0.15,rf,0.021926821210490385,0.03187888258869726
14,10.0%,0.15,svc,0.021330860835426697,0.01333165908576766
15,10.0%,0.2,cnn,0.06203856118584007,0.049326104708929674
16,10.0%,0.2,dt,0.016995062697372488,0.026530176745326907
17,10.0%,0.2,lr,0.028187040229285712,0.03305641716950596
18,10.0%,0.2,rf,0.03533467064090291,0.04404748768045596
19,10.0%,0.2,svc,0.02561289762507384,0.012514954307965979
20,10.0%,0.25,cnn,0.06185404977972752,0.06768187222838322
21,10.0%,0.25,dt,0.04010527286200276,0.04772800777769321
22,10.0%,0.25,lr,0.03767924471761715,0.032253107320912695
23,10.0%,0.25,rf,0.04178273202637537,0.047597366258440556
24,10.0%,0.25,svc,0.054162069155994405,0.051590653190754135
25,10.0%,0.3,cnn,0.06716063378043462,0.04731668302578764
26,10.0%,0.3,dt,0.050418450469631865,0.05168283881266603
27,10.0%,0.3,lr,0.04523211520245356,0.042703091149179535
28,10.0%,0.3,rf,0.06131441751888824,0.06102091043427037
29,10.0%,0.3,svc,0.12956335420612247,0.07423867923857279
30,10.0%,0.35,cnn,0.0856592060736591,0.06414592158629716
31,10.0%,0.35,dt,0.048612944793796097,0.034431862239068405
32,10.0%,0.35,lr,0.06465773358877987,0.0516582822449114
33,10.0%,0.35,rf,0.07458856527462578,0.0726158492521273
34,10.0%,0.35,svc,0.10619809976010448,0.06074896257717025
35,10.0%,0.4,cnn,0.11298658519970903,0.0791323248901145
36,10.0%,0.4,dt,0.077801133659869,0.061061349098734216
37,10.0%,0.4,lr,0.08513345130581709,0.055988590900242045
38,10.0%,0.4,rf,0.09487156299484238,0.0703958555036982
39,10.0%,0.4,svc,0.18214680944164033,0.09817856720797742
40,10.0%,0.45,cnn,0.10841639772448977,0.06247987640538375
41,10.0%,0.45,dt,0.07139512985436071,0.07442997897622422
42,10.0%,0.45,lr,0.10723534750186432,0.06026677342689363
43,10.0%,0.45,rf,0.12279488775332283,0.07144536682279455
44,10.0%,0.45,svc,0.17809639062797084,0.10063771160879402
45,10.0%,0.5,cnn,0.14034383731975236,0.07634049163991805
46,10.0%,0.5,dt,0.060583039045825154,0.060075615192916314
47,10.0%,0.5,lr,0.13570485889509376,0.07765401212044318
48,10.0%,0.5,rf,0.15342332400882538,0.09745555345461224
