,noise_proportion_corrected(beta),noise_ratio(alpha),mean,std
0,10.0%,0.05,0.0032194444444444445,0.01018377975822513
1,10.0%,0.1,0.0030083333333333333,0.009676231540455847
2,10.0%,0.15,0.005544444444444445,0.012138395181139336
3,10.0%,0.2,0.006,0.014261973906912341
4,10.0%,0.25,0.009480555555555556,0.014897221132214089
5,10.0%,0.3,0.015427777777777778,0.01761647448614374
6,10.0%,0.35,0.024869444444444444,0.02025333040386589
7,10.0%,0.4,0.05149444444444445,0.03558003214884414
8,10.0%,0.45,0.10313333333333333,0.06312642838782173
9,10.0%,0.5,0.17515555555555554,0.10668279184057479
10,10.0%,0.55,0.17203888888888888,0.10740465040734554
11,10.0%,0.6,0.10534444444444445,0.05859842299894664
12,10.0%,0.65,0.05652222222222222,0.02473974969767647
13,100.0%,0.05,0.017325,0.023259045923472332
14,100.0%,0.1,0.03297222222222222,0.04295899846790567
15,100.0%,0.15,0.050286111111111115,0.06472727294017369
16,100.0%,0.2,0.0661888888888889,0.08219775657152402
17,100.0%,0.25,0.08409166666666668,0.09897541934792443
18,100.0%,0.3,0.11343888888888887,0.11626945765882506
19,100.0%,0.35,0.14363333333333334,0.12610122829361645
20,100.0%,0.4,0.21244444444444446,0.13168539880618285
21,100.0%,0.45,0.3192055555555556,0.109339658732938
22,100.0%,0.5,0.4895916666666667,0.08978778718188514
23,100.0%,0.55,0.6509916666666666,0.12063249024184929
24,100.0%,0.6,0.7191638888888889,0.14141737088159584
25,100.0%,0.65,0.7606527777777777,0.13529739858802112
26,20.0%,0.05,0.004722222222222222,0.01012460284612218
27,20.0%,0.1,0.005544444444444445,0.011631444377107282
28,20.0%,0.15,0.010180555555555557,0.016729809590620245
29,20.0%,0.2,0.013661111111111112,0.019601649606236463
30,20.0%,0.25,0.01903888888888889,0.022420485034446075
31,20.0%,0.3,0.028783333333333338,0.025848880516483336
32,20.0%,0.35,0.04361666666666667,0.02762487978773678
33,20.0%,0.4,0.08779444444444445,0.053192476191350396
34,20.0%,0.45,0.1650611111111111,0.09115762245948898
35,20.0%,0.5,0.29030833333333333,0.1607229382602507
36,20.0%,0.55,0.35191944444444445,0.195434967090865
37,20.0%,0.6,0.30141388888888887,0.15295686695660257
38,20.0%,0.65,0.20888333333333337,0.08988220548868252
39,30.0%,0.05,0.0055472222222222225,0.010726428094754013
40,30.0%,0.1,0.009705555555555558,0.014797311064253567
41,30.0%,0.15,0.015319444444444446,0.02141539445043348
42,30.0%,0.2,0.020405555555555555,0.025593500485474218
