,noise_proportion_corrected(beta),noise_ratio(alpha),mean,std
0,10.0%,0.05,0.03137393506944444,0.12137834713153112
1,10.0%,0.1,0.01750012784166667,0.10560044887935965
2,10.0%,0.15,0.028885455002777775,0.10544279912603449
3,10.0%,0.2,0.036729338461111115,0.1072622042885997
4,10.0%,0.25,0.05665510257222223,0.09693591510068261
5,10.0%,0.3,0.09698630357499999,0.10950891353755426
6,10.0%,0.35,0.1570696252972222,0.13208306699626426
7,10.0%,0.4,0.23027021570555553,0.16142123098457734
8,10.0%,0.45,0.3073314969472222,0.1863403117020156
9,10.0%,0.5,0.3164643529305556,0.191801369945888
10,10.0%,0.55,0.22912620215555554,0.1273101446488647
11,10.0%,0.6,0.1311847437111111,0.061177539016885184
12,10.0%,0.65,0.07160069355277779,0.03438881793869712
13,100.0%,0.05,0.20015460351944445,0.23759838143578088
14,100.0%,0.1,0.2609029515722222,0.31485174537576494
15,100.0%,0.15,0.3022383655888889,0.33747609549470875
16,100.0%,0.2,0.35746483979722227,0.3254499673019754
17,100.0%,0.25,0.4275247991444445,0.3031243331349236
18,100.0%,0.3,0.5388355200972222,0.25130487672728774
19,100.0%,0.35,0.6305819703111111,0.21752290170539107
20,100.0%,0.4,0.747270682438889,0.15147568807499337
21,100.0%,0.45,0.8435580514111112,0.09146792350702102
22,100.0%,0.5,0.8959172923416667,0.06358714259122007
23,100.0%,0.55,0.9197777832027779,0.0510128699927562
24,100.0%,0.6,0.9256434746694446,0.04892381232400795
25,100.0%,0.65,0.9294865593500001,0.045799459321839014
26,20.0%,0.05,0.052475529,0.11539721289535
27,20.0%,0.1,0.036139725836111115,0.1157540680094035
28,20.0%,0.15,0.05880324846666666,0.1201204016835541
29,20.0%,0.2,0.08113831131388889,0.11031766234683107
30,20.0%,0.25,0.11336123840555555,0.09121516930122565
31,20.0%,0.3,0.17464407980277777,0.11741983429397768
32,20.0%,0.35,0.25896757140277776,0.14325579734460794
33,20.0%,0.4,0.37653889185555556,0.1927159009266534
34,20.0%,0.45,0.4729298673138889,0.23288730658913975
35,20.0%,0.5,0.5194796360083334,0.26301363194889216
36,20.0%,0.55,0.46895810446666675,0.22546662998029313
37,20.0%,0.6,0.36700712806666663,0.15157141122567513
38,20.0%,0.65,0.24893926096944444,0.08428425890668079
39,30.0%,0.05,0.05833931908055556,0.12979984923398472
40,30.0%,0.1,0.076356237975,0.1255112729081432
41,30.0%,0.15,0.09311968345555556,0.14610007989239254
42,30.0%,0.2,0.12044871872222222,0.12568655285855623
43,30.0%,0.25,0.1513231368777778,0.11267492899238198
44,30.0%,0.3,0.24568121346388885,0.1207448257491478
45,30.0%,0.35,0.3294629438805555,0.1475665545169802
46,30.0%,0.4,0.4521055485777778,0.19137683264849917
47,30.0%,0.45,0.5621686542111112,0.2294978754992727
48,30.0%,0.5,0.62537682885,0.2643849460339401
49,30.0%,0.55,0.6215033652166666,0.2563178499429935
50,30.0%,0.6,0.5850414773138889,0.23693090115546234
51,30.0%,0.65,0.4958946160527778,0.17616773614664558
52,40.0%,0.05,0.07499980261388889,0.13420774251762485
53,40.0%,0.1,0.08960495236944445,0.15050722577263131
54,40.0%,0.15,0.12378413295,0.16847765094956008
55,40.0%,0.2,0.1580649492888889,0.14023745695767365
56,40.0%,0.25,0.2074992901638889,0.12407720457100299
57,40.0%,0.3,0.2938534923805555,0.1267980567356019
58,40.0%,0.35,0.39061955267222226,0.14565060229297133
59,40.0%,0.4,0.5128282757861111,0.17551936238457236
60,40.0%,0.45,0.6203878457833333,0.21462696997781158
61,40.0%,0.5,0.6876847034055555,0.24098856352738607
62,40.0%,0.55,0.7041132471,0.24377588006952802
63,40.0%,0.6,0.6958436363972222,0.24164070501320686
64,40.0%,0.65,0.6746749830916667,0.22841281413768807
65,50.0%,0.05,0.10078798689444443,0.15458932881015028
