,noise_proportion_corrected(beta),noise_ratio(alpha),mean,std
0,10.0%,0.05,0.002533333333333333,0.010532667214513397
1,10.0%,0.1,0.0026833333333333336,0.012369191974917343
2,10.0%,0.15,0.004588888888888889,0.013403751314962475
3,10.0%,0.2,0.006477777777777778,0.010047055332232368
4,10.0%,0.25,0.009227777777777777,0.013221781720334622
5,10.0%,0.3,0.011072222222222225,0.013114783045559119
6,10.0%,0.35,0.015222222222222224,0.016568908054164756
7,10.0%,0.4,0.02916111111111111,0.02688143210489329
8,10.0%,0.45,0.049077777777777776,0.05743188007490985
9,10.0%,0.5,0.06026111111111112,0.06296330426641235
10,10.0%,0.55,0.07765,0.08490534882106643
11,10.0%,0.6,0.07530555555555556,0.07104756653371068
12,10.0%,0.65,0.10049444444444446,0.08447732540815232
13,100.0%,0.05,0.014616666666666668,0.01952426464972137
14,100.0%,0.1,0.03285555555555556,0.039139066695856733
15,100.0%,0.15,0.04770000000000001,0.055064507625148154
16,100.0%,0.2,0.06659444444444443,0.0718891114899293
17,100.0%,0.25,0.0841,0.0922581624536596
18,100.0%,0.3,0.10031111111111111,0.10532330049882144
19,100.0%,0.35,0.1225388888888889,0.11915541328704078
20,100.0%,0.4,0.15637777777777778,0.12394957091429444
21,100.0%,0.45,0.20145555555555555,0.1337750426927261
22,100.0%,0.5,0.2552611111111111,0.1368484815320505
23,100.0%,0.55,0.3146111111111111,0.14275198059937277
24,100.0%,0.6,0.3834055555555555,0.14498252305454243
25,100.0%,0.65,0.4664333333333334,0.12234796114159656
26,20.0%,0.05,0.003650000000000001,0.011605996609657042
27,20.0%,0.1,0.0066388888888888895,0.01413677723746374
28,20.0%,0.15,0.008905555555555555,0.013786064948582748
29,20.0%,0.2,0.012338888888888889,0.013474034075108261
30,20.0%,0.25,0.017033333333333334,0.01939445652294038
31,20.0%,0.3,0.02217777777777778,0.021202251193691662
32,20.0%,0.35,0.030066666666666665,0.023333344034240457
33,20.0%,0.4,0.048188888888888885,0.030361545920154873
34,20.0%,0.45,0.07487777777777778,0.06262113255281522
35,20.0%,0.5,0.10082777777777778,0.07910330186403573
36,20.0%,0.55,0.12991111111111112,0.10049902391436608
37,20.0%,0.6,0.1647388888888889,0.10522830256956969
38,20.0%,0.65,0.18147222222222223,0.0991929897710788
39,30.0%,0.05,0.0039833333333333335,0.011935324306114804
40,30.0%,0.1,0.01015,0.013866224829103123
41,30.0%,0.15,0.012672222222222224,0.017811617391673498
42,30.0%,0.2,0.01856111111111111,0.020504566191622213
43,30.0%,0.25,0.025400000000000006,0.028968231339974695
44,30.0%,0.3,0.032900000000000006,0.02951691573668803
45,30.0%,0.35,0.042555555555555555,0.03171435400079734
46,30.0%,0.4,0.06525,0.03814676345114684
47,30.0%,0.45,0.09632222222222223,0.0681816934436872
48,30.0%,0.5,0.13365,0.08360203514806847
49,30.0%,0.55,0.17759444444444444,0.11263351364383208
50,30.0%,0.6,0.2249055555555555,0.12372143625505538
51,30.0%,0.65,0.2708277777777778,0.1206356563345842
52,40.0%,0.05,0.006077777777777778,0.013167228452434543
53,40.0%,0.1,0.012666666666666668,0.01887138610391791
54,40.0%,0.15,0.01747777777777778,0.022366069696259278
55,40.0%,0.2,0.025216666666666665,0.02778216326180555
56,40.0%,0.25,0.03517222222222223,0.0382444944345824
57,40.0%,0.3,0.04309444444444444,0.039653973435690555
58,40.0%,0.35,0.05352777777777778,0.042381318832918326
59,40.0%,0.4,0.07909444444444444,0.0462487712830677
60,40.0%,0.45,0.11195555555555556,0.0704819143446593
61,40.0%,0.5,0.15321666666666664,0.08633922025971848
62,40.0%,0.55,0.2065722222222222,0.11508762077513117
63,40.0%,0.6,0.2593222222222223,0.1299748746487184
64,40.0%,0.65,0.3270388888888889,0.13921663313904623
65,50.0%,0.05,0.007644444444444445,0.014401787584982161
66,50.0%,0.1,0.017416666666666667,0.022961894423274794
67,50.0%,0.15,0.022044444444444446,0.028415520806798492
68,50.0%,0.2,0.03132777777777778,0.03455374913487544
69,50.0%,0.25,0.04316666666666667,0.045689782006213174
70,50.0%,0.3,0.0519,0.049998831447019
71,50.0%,0.35,0.06591111111111111,0.055302263286363396
72,50.0%,0.4,0.09123333333333333,0.05556766297532518
73,50.0%,0.45,0.12824444444444447,0.07615276059551028
74,50.0%,0.5,0.1719388888888889,0.09040905256260799
75,50.0%,0.55,0.22691111111111112,0.11522397772900994
76,50.0%,0.6,0.28381666666666666,0.13275100139278243
77,50.0%,0.65,0.35889444444444446,0.13665639051984582
78,60.0%,0.05,0.008666666666666666,0.015463984979967942
79,60.0%,0.1,0.021455555555555554,0.02747446663911095
80,60.0%,0.15,0.027061111111111112,0.033849786132610506
81,60.0%,0.2,0.03872777777777779,0.04170422614259027
82,60.0%,0.25,0.05085555555555556,0.05552376980836977
83,60.0%,0.3,0.061288888888888886,0.06044330511796175
84,60.0%,0.35,0.07535555555555555,0.06478075576205962
85,60.0%,0.4,0.10364444444444444,0.06755244506276255
86,60.0%,0.45,0.14370000000000002,0.08508465051235146
87,60.0%,0.5,0.19102777777777777,0.0958400282631331
88,60.0%,0.55,0.24537222222222224,0.11575195198468433
89,60.0%,0.6,0.30719444444444444,0.12946522882383127
90,60.0%,0.65,0.3830944444444444,0.12931380902573425
91,70.0%,0.05,0.00915,0.015189523666444682
92,70.0%,0.1,0.023061111111111116,0.028977405744741554
93,70.0%,0.15,0.03131111111111111,0.03781508659295202
94,70.0%,0.2,0.04398888888888889,0.0478186519117977
95,70.0%,0.25,0.058422222222222216,0.06312373754933442
96,70.0%,0.3,0.06972222222222221,0.06914563328040185
97,70.0%,0.35,0.08722222222222223,0.07941563650093689
98,70.0%,0.4,0.11605,0.08034735160608816
99,70.0%,0.45,0.15643888888888888,0.09463085666134186
100,70.0%,0.5,0.2048166666666667,0.10141918380018955
