,noise_proportion_corrected(beta),noise_ratio(alpha),mean,std
0,10.0%,0.05,0.011321850755555557,0.0546476522180567
1,10.0%,0.1,0.010888231666666665,0.051359178819786494
2,10.0%,0.15,0.01718064722222222,0.048288083676362975
3,10.0%,0.2,0.026548406811111116,0.038423545065149826
4,10.0%,0.25,0.03138281553333333,0.04245199644474716
5,10.0%,0.3,0.0402279768,0.03738204279770375
6,10.0%,0.35,0.053333152922222224,0.055659678494603924
7,10.0%,0.4,0.0982299918222222,0.09056098767750305
8,10.0%,0.45,0.1381689527111111,0.1271577722647931
9,10.0%,0.5,0.15161426481111112,0.12978586887405813
10,10.0%,0.55,0.17141662142222222,0.15081237907744713
11,10.0%,0.6,0.15906438622222221,0.14008558950265773
12,10.0%,0.65,0.1829622947,0.15540849113442212
13,100.0%,0.05,0.07956295826666666,0.09630334323684775
14,100.0%,0.1,0.14896743957777778,0.15102685825177564
15,100.0%,0.15,0.19339157982222221,0.18245371489198478
16,100.0%,0.2,0.24692267511111116,0.19898608949989743
17,100.0%,0.25,0.2770617446222222,0.21699631553754506
18,100.0%,0.3,0.31565663507777775,0.21824698445482973
19,100.0%,0.35,0.36271877907777783,0.21048540467803398
20,100.0%,0.4,0.44267672071111114,0.1902597130799056
21,100.0%,0.45,0.5146703196555555,0.18314293453160896
22,100.0%,0.5,0.5928876245,0.1457458747814725
23,100.0%,0.55,0.6520089753111111,0.1318213906823265
24,100.0%,0.6,0.7049187975555556,0.09662967679459517
25,100.0%,0.65,0.7554606232666666,0.06064650297437639
26,20.0%,0.05,0.01858172018888889,0.05912656400139154
27,20.0%,0.1,0.028168893277777777,0.05684606501857138
28,20.0%,0.15,0.036676228633333335,0.04916485778507636
29,20.0%,0.2,0.04909077836666668,0.04195980669140704
30,20.0%,0.25,0.0585768723,0.0515029011803614
31,20.0%,0.3,0.07708475957777777,0.04567171352630277
32,20.0%,0.35,0.10325641857777779,0.05640529428999954
33,20.0%,0.4,0.16033944060000002,0.08592269552423311
34,20.0%,0.45,0.2136936160333333,0.13803399462502763
35,20.0%,0.5,0.25210949617777784,0.1464148103783528
36,20.0%,0.55,0.2866310609777778,0.1666615211946696
37,20.0%,0.6,0.3212307828777778,0.15584987742263118
38,20.0%,0.65,0.31737081316666665,0.1795656793919498
39,30.0%,0.05,0.01997490628888889,0.06056795785352673
40,30.0%,0.1,0.04551122712222223,0.054439797131847455
41,30.0%,0.15,0.05148876245555556,0.061677745831683
42,30.0%,0.2,0.07050849888888888,0.05977900163791657
43,30.0%,0.25,0.08460673049999999,0.07269508013211227
44,30.0%,0.3,0.11386791883333333,0.05773827618562987
45,30.0%,0.35,0.14364812156666668,0.059937548830991734
46,30.0%,0.4,0.2117416532111111,0.09269964689636633
47,30.0%,0.45,0.2720155923888889,0.14334913549130923
48,30.0%,0.5,0.3335672336777778,0.15090044775663075
49,30.0%,0.55,0.3881012146,0.17737032198765076
50,30.0%,0.6,0.4312041830222223,0.16935439030111343
51,30.0%,0.65,0.4557008746333333,0.18041876352128997
52,40.0%,0.05,0.031017016233333333,0.06696122697602212
53,40.0%,0.1,0.05518394901111111,0.07375316621980088
54,40.0%,0.15,0.06996376907777778,0.07627828126505647
55,40.0%,0.2,0.09533315384444446,0.07899584246769789
56,40.0%,0.25,0.1178661387111111,0.09185746319241916
57,40.0%,0.3,0.14535647004444446,0.07601825008960633
58,40.0%,0.35,0.17500150617777777,0.07572925874468003
59,40.0%,0.4,0.25036578449999997,0.09520004038632207
60,40.0%,0.45,0.31278214946666666,0.13771008984784727
61,40.0%,0.5,0.37778051832222226,0.1468003440398292
62,40.0%,0.55,0.44644822533333345,0.1685724635867142
63,40.0%,0.6,0.49194617276666663,0.16662512440596616
64,40.0%,0.65,0.5413476426555556,0.1857803841348871
65,50.0%,0.05,0.039356102955555555,0.0739950601136794
66,50.0%,0.1,0.07641000523333334,0.09121043789602251
67,50.0%,0.15,0.08677799965555555,0.09675188188229694
68,50.0%,0.2,0.1158394947111111,0.09751555428806669
69,50.0%,0.25,0.14525279976666666,0.10692425074144268
70,50.0%,0.3,0.1720400307888889,0.09910750861831358
71,50.0%,0.35,0.2097652699,0.09370120448611709
72,50.0%,0.4,0.2830883055444444,0.09867718453779334
73,50.0%,0.45,0.35075053903333336,0.13340621283806356
74,50.0%,0.5,0.4190840727444444,0.14082402480986433
75,50.0%,0.55,0.4874239646444445,0.15558503378680205
76,50.0%,0.6,0.5351917237222222,0.15760794270832182
77,50.0%,0.65,0.5905164016444445,0.16755575875009993
78,60.0%,0.05,0.04541003016666668,0.07614885216099888
79,60.0%,0.1,0.09432432534444445,0.10847231421430044
80,60.0%,0.15,0.10693987376666668,0.11455081339616913
81,60.0%,0.2,0.14465273274444443,0.11475882839868062
82,60.0%,0.25,0.16818911590000002,0.1320097619382493
83,60.0%,0.3,0.19918720695555553,0.12093910739901954
84,60.0%,0.35,0.23684833608888892,0.10950636298406836
85,60.0%,0.4,0.31277241442222226,0.11140421212728646
86,60.0%,0.45,0.3850183704444445,0.1391916106407737
87,60.0%,0.5,0.4607723459444445,0.13209963344082087
88,60.0%,0.55,0.5226780194555555,0.1421455017147421
89,60.0%,0.6,0.5754738669777778,0.13476793235847231
90,60.0%,0.65,0.6272818474444444,0.14225541311040768
91,70.0%,0.05,0.04864202546666667,0.07381365099033506
92,70.0%,0.1,0.10267810363333331,0.11439501756464254
93,70.0%,0.15,0.1246041420888889,0.1265069230743279
94,70.0%,0.2,0.16252526584444443,0.13317871950804194
95,70.0%,0.25,0.19349375096666674,0.1481506470769391
96,70.0%,0.3,0.2258519246555556,0.13857420436374
97,70.0%,0.35,0.2662349007,0.13670647363670357
98,70.0%,0.4,0.34310866585555555,0.12652349947483713
99,70.0%,0.45,0.41315526272222225,0.14245058354046802
100,70.0%,0.5,0.48914596623333334,0.1256108833741014
101,70.0%,0.55,0.5539381125777777,0.12883310558987068
102,70.0%,0.6,0.6066356631333333,0.12035776271076441
103,70.0%,0.65,0.6578954196444444,0.11773345693818686
104,80.0%,0.05,0.06915616012222223,0.0978030449816159
105,80.0%,0.1,0.12213114822222221,0.13034630665141547
106,80.0%,0.15,0.14221561143333333,0.1495607583215361
107,80.0%,0.2,0.18039597891111112,0.1504156284518672
108,80.0%,0.25,0.21807476886666666,0.1707624639648861
109,80.0%,0.3,0.2550754070222222,0.16858070606242045
110,80.0%,0.35,0.2930489094444445,0.16335371406568827
111,80.0%,0.4,0.372201657188889,0.149300595107182
112,80.0%,0.45,0.44285782404444446,0.1538793278732989
113,80.0%,0.5,0.5213712262555555,0.12810369909024175
114,80.0%,0.55,0.582178674388889,0.12785343915276218
115,80.0%,0.6,0.6353890725999999,0.10435016170340052
116,80.0%,0.65,0.691125140311111,0.09046427521360145
117,90.0%,0.05,0.07160212887777778,0.09525049030563885
118,90.0%,0.1,0.13763043353333335,0.14439199899944208
119,90.0%,0.15,0.16877384206666665,0.16834089334747063
120,90.0%,0.2,0.21389831901111114,0.17314874244301312
121,90.0%,0.25,0.24302792275555554,0.19820702463705245
122,90.0%,0.3,0.2837325685,0.1959977038468372
123,90.0%,0.35,0.3270506171555556,0.19309435737513453
124,90.0%,0.4,0.4054999897888889,0.17260201156671903
125,90.0%,0.45,0.4763962778666667,0.16659137187873838
126,90.0%,0.5,0.5529195700222223,0.13499509539395563
127,90.0%,0.55,0.6105851389888889,0.12529101133419868
128,90.0%,0.6,0.6664522534111111,0.09611225243940019
129,90.0%,0.65,0.7211459417777778,0.06929731243346979
