,noise_proportion_corrected(beta),noise_ratio(alpha),mean,std
0,10.0%,0.05,0.0014374999999999926,0.005517543432364722
1,10.0%,0.1,0.0016617458279845816,0.006200601184228284
2,10.0%,0.15,0.0021495564005069626,0.00745552399237901
3,10.0%,0.2,0.005179746835443025,0.012843208516781723
4,10.0%,0.25,0.013516290726817022,0.026696650578228887
5,10.0%,0.3,0.020108749999999967,0.028193891942512685
6,10.0%,0.35,0.041673749999999975,0.03990648249493932
7,10.0%,0.4,0.06626374999999995,0.04645571119157896
8,10.0%,0.45,0.08876749999999996,0.04999531586319188
9,10.0%,0.5,0.143665,0.0897946602045554
10,10.0%,0.55,0.14781437499999994,0.09514104992107499
11,10.0%,0.6,0.10382687499999996,0.06385201496431518
12,10.0%,0.65,0.07117562499999996,0.03282116892756243
13,100.0%,0.05,0.0074003906249999725,0.009056618221783446
14,100.0%,0.1,0.010341463414634114,0.01111534932684175
15,100.0%,0.15,0.015285171102661563,0.013917557133923198
16,100.0%,0.2,0.025933544303797438,0.023126388865248808
17,100.0%,0.25,0.04892167919799495,0.04745675380537404
18,100.0%,0.3,0.07256062499999998,0.05900288817613747
19,100.0%,0.35,0.135544375,0.10677096816510104
20,100.0%,0.4,0.20354249999999996,0.12283881934540367
21,100.0%,0.45,0.3038756249999999,0.12357778341616239
22,100.0%,0.5,0.454379375,0.1042534585355813
23,100.0%,0.55,0.586460625,0.1360470337101697
24,100.0%,0.6,0.6774350000000001,0.16703226633646828
25,100.0%,0.65,0.7475393750000001,0.15370486001457306
26,20.0%,0.05,0.001983072916666656,0.006035237675876897
27,20.0%,0.1,0.0028292682926829116,0.006910490207922117
28,20.0%,0.15,0.004405576679340925,0.008058417381135842
29,20.0%,0.2,0.009472151898734158,0.015280017822842272
30,20.0%,0.25,0.021976817042606483,0.03104878019686174
31,20.0%,0.3,0.03803687499999996,0.041552192283787634
32,20.0%,0.35,0.07286249999999997,0.06609152237929625
33,20.0%,0.4,0.11449812499999996,0.07550370484811732
34,20.0%,0.45,0.1610125,0.07023942938656812
35,20.0%,0.5,0.25549687499999996,0.10517159970479178
36,20.0%,0.55,0.30402437499999996,0.16397928405856585
37,20.0%,0.6,0.283431875,0.16165450703906134
38,20.0%,0.65,0.21468874999999998,0.09084127046095955
39,30.0%,0.05,0.0029049479166666572,0.006415284998655314
40,30.0%,0.1,0.003970474967907555,0.007451455657746309
41,30.0%,0.15,0.005825728770595671,0.008157031760361057
42,30.0%,0.2,0.012983544303797447,0.01650194081898687
43,30.0%,0.25,0.02912218045112779,0.03749990108570835
44,30.0%,0.3,0.04713187499999996,0.047824771902161146
45,30.0%,0.35,0.09596499999999997,0.08646336242190462
46,30.0%,0.4,0.15103874999999994,0.10290927203744372
47,30.0%,0.45,0.21918374999999998,0.09303246764427181
48,30.0%,0.5,0.336015,0.10491336982940355
49,30.0%,0.55,0.41978499999999996,0.17139230708716433
50,30.0%,0.6,0.443689375,0.2002851004854204
51,30.0%,0.65,0.42579437499999995,0.17461590218958076
52,40.0%,0.05,0.0036165364583333206,0.006765230534224106
53,40.0%,0.1,0.004761874197689325,0.007936086081478482
54,40.0%,0.15,0.007439163498098837,0.0091223062812103
55,40.0%,0.2,0.015446202531645546,0.017605231809944145
56,40.0%,0.25,0.033472431077694195,0.04028616883749494
57,40.0%,0.3,0.05411312499999996,0.05251302969829958
58,40.0%,0.35,0.10912687499999997,0.09644935426251669
59,40.0%,0.4,0.17109437499999994,0.11401852288251135
60,40.0%,0.45,0.25592187499999997,0.11253777764925059
61,40.0%,0.5,0.39138375,0.10589623282296269
62,40.0%,0.55,0.501530625,0.15609683581770564
63,40.0%,0.6,0.565450625,0.19194004363354442
64,40.0%,0.65,0.5944981250000001,0.181490783690771
65,50.0%,0.05,0.004304036458333317,0.0072721143631183675
66,50.0%,0.1,0.005804878048780465,0.008289883066969572
67,50.0%,0.15,0.008929024081115313,0.0099910509035861
68,50.0%,0.2,0.017368987341772127,0.018778972215015146
69,50.0%,0.25,0.03763659147869671,0.04274541823207968
70,50.0%,0.3,0.058880624999999964,0.05429027057363108
71,50.0%,0.35,0.11786624999999998,0.10105777346602234
72,50.0%,0.4,0.18236562499999998,0.11929483204250484
73,50.0%,0.45,0.27629812499999995,0.12090056914054421
74,50.0%,0.5,0.420194375,0.10918214577968186
75,50.0%,0.55,0.543586875,0.1488620906839208
76,50.0%,0.6,0.624806875,0.18258264681749736
77,50.0%,0.65,0.682231875,0.1734615109793046
78,60.0%,0.05,0.004852864583333314,0.00723275485284129
79,60.0%,0.1,0.006826059050064163,0.008852996892929852
80,60.0%,0.15,0.010127376425855487,0.01042238954822384
81,60.0%,0.2,0.019177215189873392,0.019314067250476165
82,60.0%,0.25,0.04059022556390974,0.04407499033007818
83,60.0%,0.3,0.06229624999999997,0.05552428224061451
84,60.0%,0.35,0.12319249999999998,0.10362401562629267
85,60.0%,0.4,0.18878875,0.12131315458465995
86,60.0%,0.45,0.2863925,0.12416502732760172
87,60.0%,0.5,0.433851875,0.10906625076211023
88,60.0%,0.55,0.562323125,0.14477528537980985
89,60.0%,0.6,0.649818125,0.17675379483612394
90,60.0%,0.65,0.7152668750000001,0.16659071942933784
91,70.0%,0.05,0.005356119791666651,0.00790485725588748
92,70.0%,0.1,0.007258023106546831,0.009117811980714484
93,70.0%,0.15,0.01153675538656525,0.011372886878738643
94,70.0%,0.2,0.02074240506329111,0.020486272550896908
95,70.0%,0.25,0.04231328320802002,0.044850793754112044
96,70.0%,0.3,0.06520999999999998,0.05655271246021945
97,70.0%,0.35,0.12690374999999998,0.10453880829140075
98,70.0%,0.4,0.19385812499999994,0.12195759407443602
99,70.0%,0.45,0.2925956249999999,0.12416878543924072
100,70.0%,0.5,0.44074062499999994,0.10844765051967897
101,70.0%,0.55,0.5717568749999999,0.141453676626036
102,70.0%,0.6,0.6611518749999999,0.17364676968565296
103,70.0%,0.65,0.7296868750000001,0.16181076151916982
104,80.0%,0.05,0.005799479166666646,0.008307614184839983
105,80.0%,0.1,0.008243902439024365,0.009819689217053574
106,80.0%,0.15,0.012488593155893509,0.0121605898648428
107,80.0%,0.2,0.022724050632911365,0.02103711015920227
108,80.0%,0.25,0.04453508771929821,0.045577061433502375
109,80.0%,0.3,0.06741124999999996,0.05741479183397929
110,80.0%,0.35,0.13015562499999997,0.10555870116953944
111,80.0%,0.4,0.19730749999999997,0.12240630170510586
112,80.0%,0.45,0.29667499999999997,0.12431597323554959
113,80.0%,0.5,0.44648062499999996,0.10644648187699472
114,80.0%,0.55,0.577556875,0.13890616925664723
115,80.0%,0.6,0.668233125,0.1702288133700082
116,80.0%,0.65,0.737240625,0.15821186121272598
117,90.0%,0.05,0.006152994791666647,0.008629508296801267
118,90.0%,0.1,0.009080872913992271,0.010306292846836517
119,90.0%,0.15,0.013739543726235716,0.013316397006441877
120,90.0%,0.2,0.02407721518987339,0.022087015089889604
121,90.0%,0.25,0.04658082706766914,0.04665049359750667
122,90.0%,0.3,0.06989999999999996,0.057990180861465096
123,90.0%,0.35,0.13277062499999998,0.10595443597479909
124,90.0%,0.4,0.20031562499999997,0.12247087751035785
125,90.0%,0.45,0.30017875,0.12383233567059351
126,90.0%,0.5,0.45005125000000007,0.10526378688549233
127,90.0%,0.55,0.582198125,0.13696279675007145
128,90.0%,0.6,0.6731043750000001,0.1679793107928099
129,90.0%,0.65,0.7425256250000001,0.15544720992897476
