,noise_proportion_corrected(beta),noise_ratio(alpha),mean,std
0,10.0%,0.05,0.040775221106503494,0.3442846764826799
1,10.0%,0.1,0.022854391703178944,0.5502195426288305
2,10.0%,0.15,0.02635849730212344,0.5132249191847242
3,10.0%,0.2,0.07101234394331948,0.41246721871305614
4,10.0%,0.25,0.1330090009849419,0.33687303762406645
5,10.0%,0.3,0.1839176362700832,0.2559802061681523
6,10.0%,0.35,0.2320049877659313,0.22068500222819665
7,10.0%,0.4,0.2806757692074184,0.20471921050956476
8,10.0%,0.45,0.2528309579090833,0.21145690390836624
9,10.0%,0.5,0.2773890793429053,0.1753827095284228
10,10.0%,0.55,0.21531004061415066,0.11492636527721253
11,10.0%,0.6,0.13385994364145654,0.0685758079368669
12,10.0%,0.65,0.08660578139146541,0.036403979844219114
13,100.0%,0.05,0.42911370680878136,0.44914433926558106
14,100.0%,0.1,0.4621523475130934,0.4323247777755766
15,100.0%,0.15,0.5067903619770383,0.42194618917507565
16,100.0%,0.2,0.549187847664849,0.4078012102127544
17,100.0%,0.25,0.6072032695706647,0.37404652147414064
18,100.0%,0.3,0.6503974243508381,0.3485507347413317
19,100.0%,0.35,0.7098090311210217,0.2983519771418516
20,100.0%,0.4,0.762295030061822,0.25159150980333644
21,100.0%,0.45,0.8183747312204642,0.19198310937265914
22,100.0%,0.5,0.8620930033367087,0.14725979325286404
23,100.0%,0.55,0.8852011709438883,0.12136717713822123
24,100.0%,0.6,0.8957794261705908,0.1126564316756457
25,100.0%,0.65,0.9076522719518849,0.09820655681043193
26,20.0%,0.05,0.05351597301284374,0.6296609726577698
27,20.0%,0.1,0.0952573626422889,0.5126464919449848
28,20.0%,0.15,0.1274006624090601,0.4294779841566965
29,20.0%,0.2,0.19096442609945666,0.3798219410566497
30,20.0%,0.25,0.25265051161421254,0.31677824030669394
31,20.0%,0.3,0.33659838126848995,0.27920022939369005
32,20.0%,0.35,0.3925962021069063,0.26721863799189816
33,20.0%,0.4,0.45090499567260744,0.25416569766853486
34,20.0%,0.45,0.44833145693976406,0.23163968759608194
35,20.0%,0.5,0.49086428346139255,0.20507858988491157
36,20.0%,0.55,0.44595625932946686,0.18999112674268087
37,20.0%,0.6,0.3618829319395388,0.15977867338570018
38,20.0%,0.65,0.2571000449085857,0.08619005055282924
39,30.0%,0.05,0.10182584658781242,0.48779099905907286
40,30.0%,0.1,0.12495452860510571,0.4354110760854484
41,30.0%,0.15,0.17913135307278896,0.4167491303509464
42,30.0%,0.2,0.27028938194230107,0.3428307648136801
43,30.0%,0.25,0.34558154983957196,0.3264748234361544
44,30.0%,0.3,0.4247927176459887,0.30934556307511013
45,30.0%,0.35,0.4993810203710828,0.2804596775912697
46,30.0%,0.4,0.5691744930731762,0.2700376788602445
47,30.0%,0.45,0.5951265626421143,0.22096817471644728
48,30.0%,0.5,0.6412984862895567,0.19085779651113083
49,30.0%,0.55,0.6226911840489584,0.1866053836953385
50,30.0%,0.6,0.5716905430785527,0.18101632091033595
51,30.0%,0.65,0.5072341643155643,0.1544443750588777
52,40.0%,0.05,0.13114032398002426,0.436925921659942
53,40.0%,0.1,0.18048537224966957,0.37497291337260735
54,40.0%,0.15,0.22442544717372778,0.38191847526884165
55,40.0%,0.2,0.32716695151274655,0.33222021219215964
56,40.0%,0.25,0.4048556204063393,0.3375036966812313
57,40.0%,0.3,0.4825545025659169,0.3224639121065961
58,40.0%,0.35,0.5608781074760953,0.2923434778973849
59,40.0%,0.4,0.6409563252884208,0.26908997093273757
60,40.0%,0.45,0.6855673859573653,0.21319319942819728
61,40.0%,0.5,0.7428504672924164,0.17111517347912084
62,40.0%,0.55,0.7502063367840401,0.15427461454527316
63,40.0%,0.6,0.7375765336449254,0.14990639434168018
64,40.0%,0.65,0.7135906431111733,0.13659116195852702
65,50.0%,0.05,0.1416298598561934,0.45058045674627234
66,50.0%,0.1,0.20970573201077378,0.3718789662731862
67,50.0%,0.15,0.2687653406931792,0.4062423065014425
68,50.0%,0.2,0.35844051082990475,0.3565629903719695
69,50.0%,0.25,0.44483953556791384,0.3360471105650489
70,50.0%,0.3,0.524750273201025,0.3274582579896255
71,50.0%,0.35,0.6059896069498854,0.29508971246532584
72,50.0%,0.4,0.6780743462558293,0.2695399386370919
73,50.0%,0.45,0.7380402574930227,0.20983487318786415
74,50.0%,0.5,0.7965170949197617,0.1668236911584117
75,50.0%,0.55,0.8165179515761509,0.1434216986085003
76,50.0%,0.6,0.8205214890475034,0.13576402878429247
77,50.0%,0.65,0.8235937608470327,0.12313937727847993
78,60.0%,0.05,0.19607998821657632,0.4372831844578505
79,60.0%,0.1,0.2396814966152445,0.38097441223895007
80,60.0%,0.15,0.3030414941310766,0.40094511741851124
81,60.0%,0.2,0.393414022935747,0.366598792019998
82,60.0%,0.25,0.4832967825752683,0.3388363922639671
83,60.0%,0.3,0.5547714107199244,0.33040554227251206
84,60.0%,0.35,0.6345580493985247,0.29542364762605455
85,60.0%,0.4,0.7016806650343865,0.26354683491525044
86,60.0%,0.45,0.7626279635566502,0.20817142185450424
87,60.0%,0.5,0.822505292043665,0.16251082697653504
88,60.0%,0.55,0.8464411233741095,0.13763166759203088
89,60.0%,0.6,0.8561283944030361,0.12874249345995395
90,60.0%,0.65,0.8658047319544312,0.11576681023820504
91,70.0%,0.05,0.20482389018245115,0.4518124115703636
92,70.0%,0.1,0.2553131126641135,0.39997813230666973
93,70.0%,0.15,0.33205441868150765,0.39392047337486985
94,70.0%,0.2,0.4183836091930752,0.374304626440348
95,70.0%,0.25,0.5036475590515717,0.3395940716883228
96,70.0%,0.3,0.5786527235659351,0.3323922131505533
97,70.0%,0.35,0.6527372553341002,0.29352876245983556
98,70.0%,0.4,0.720921878018699,0.2579317463273334
99,70.0%,0.45,0.781145906395611,0.1996745249680212
100,70.0%,0.5,0.8355941653894928,0.15887567888976717
101,70.0%,0.55,0.8616992325278733,0.13259345969576936
102,70.0%,0.6,0.872304748530737,0.12442752477522782
103,70.0%,0.65,0.8844012087704146,0.10974003776757213
104,80.0%,0.05,0.23319096698513198,0.46215075837153263
105,80.0%,0.1,0.28827649302998853,0.41227252341378995
106,80.0%,0.15,0.35287193800416394,0.3947290157189863
107,80.0%,0.2,0.452188631481951,0.36163986220146765
108,80.0%,0.25,0.529341603409444,0.3436736005554944
109,80.0%,0.3,0.5965040659870667,0.3323085665034706
110,80.0%,0.35,0.6715940174803634,0.2915840710700751
111,80.0%,0.4,0.7340430683001489,0.254088281729253
112,80.0%,0.45,0.7939405376445169,0.19637802766345822
113,80.0%,0.5,0.8467737073159103,0.15362852082578837
114,80.0%,0.55,0.871079458057648,0.12782388303849987
115,80.0%,0.6,0.8826708982957914,0.11851117559569925
116,80.0%,0.65,0.8942661814821178,0.10493079347598216
117,90.0%,0.05,0.26169461650498654,0.4687335611262566
118,90.0%,0.1,0.29488446641508664,0.48033721465513707
119,90.0%,0.15,0.37447642115370533,0.4227806000322775
120,90.0%,0.2,0.47227340288369185,0.3678254680211539
121,90.0%,0.25,0.5486754275795737,0.3479350007198218
