,noise_proportion_corrected(beta),noise_ratio(alpha),mean,std
0,10.0%,0.05,0.0012793333333333235,0.0031455155394542913
1,10.0%,0.1,0.0027419999999999728,0.0043134294738065605
2,10.0%,0.15,0.004363999999999965,0.00641827591895298
3,10.0%,0.2,0.006523999999999968,0.007918271114938176
4,10.0%,0.25,0.010633333333333297,0.0126528118034071
5,10.0%,0.3,0.01802466666666663,0.018473150974728784
6,10.0%,0.35,0.02174666666666663,0.01995115736215534
7,10.0%,0.4,0.03769533333333329,0.03711318320136131
8,10.0%,0.45,0.044417333333333295,0.0450521900884667
9,10.0%,0.5,0.07048933333333329,0.07080345908459924
10,10.0%,0.55,0.07591266666666663,0.054750716702325876
11,10.0%,0.6,0.07803266666666663,0.04830579952768558
12,10.0%,0.65,0.07601533333333328,0.05027089399886568
13,100.0%,0.05,0.009629999999999955,0.00870380422882381
14,100.0%,0.1,0.016472666666666615,0.014779370243263826
15,100.0%,0.15,0.026363999999999947,0.0252822331440812
16,100.0%,0.2,0.03799733333333329,0.03310395249352428
17,100.0%,0.25,0.05174399999999994,0.043311858784972464
18,100.0%,0.3,0.0732253333333333,0.05900170761567835
19,100.0%,0.35,0.10246733333333329,0.07969182125783987
20,100.0%,0.4,0.14123866666666665,0.10860227529638859
21,100.0%,0.45,0.17299999999999996,0.13058379962626382
22,100.0%,0.5,0.2471853333333333,0.18996751343133417
23,100.0%,0.55,0.304044,0.19673853956542317
24,100.0%,0.6,0.3636433333333333,0.20753311288041354
25,100.0%,0.65,0.41771333333333327,0.21590626995277767
26,20.0%,0.05,0.002631999999999978,0.004465517699231241
27,20.0%,0.1,0.004930666666666636,0.006382252518004842
28,20.0%,0.15,0.008901333333333301,0.011433402064742101
29,20.0%,0.2,0.0128873333333333,0.013298686904280276
30,20.0%,0.25,0.018704666666666623,0.020457805115813354
31,20.0%,0.3,0.029584666666666617,0.027826713872135544
32,20.0%,0.35,0.045198666666666616,0.04083083613420554
33,20.0%,0.4,0.06442866666666663,0.05457283703303734
34,20.0%,0.45,0.08511399999999997,0.07655903983990431
35,20.0%,0.5,0.1263273333333333,0.11204537545399364
36,20.0%,0.55,0.14995133333333327,0.09590346638147186
37,20.0%,0.6,0.16185666666666662,0.08885469657203428
38,20.0%,0.65,0.16031199999999998,0.0991704321868884
39,30.0%,0.05,0.0034893333333333126,0.005420148177308609
40,30.0%,0.1,0.006823333333333292,0.00813732321361108
41,30.0%,0.15,0.012170666666666628,0.0144452335171382
42,30.0%,0.2,0.018317999999999952,0.01925650964630894
43,30.0%,0.25,0.025956666666666628,0.028036374782806142
44,30.0%,0.3,0.040078666666666624,0.03785760779564591
45,30.0%,0.35,0.06200266666666663,0.053363225336785246
46,30.0%,0.4,0.08813266666666664,0.07459843413498368
