,noise_proportion_corrected(beta),noise_ratio(alpha),mean,std
0,10.0%,0.05,0.00929722616967879,0.024699810271274027
1,10.0%,0.1,0.01822603434708506,0.02887399326514419
2,10.0%,0.15,0.024286599132311036,0.03561573054406972
3,10.0%,0.2,0.03363364647569501,0.038327811643288065
4,10.0%,0.25,0.04711667370834344,0.050829622582251946
5,10.0%,0.3,0.07073779423550614,0.06355515537445425
6,10.0%,0.35,0.07594330989819306,0.06062396521611274
7,10.0%,0.4,0.11058790852037556,0.08260696186249541
8,10.0%,0.45,0.1175876306924017,0.08197791866992972
9,10.0%,0.5,0.14840434814462225,0.10414982626151434
10,10.0%,0.55,0.16340559006307737,0.10631782420313027
11,10.0%,0.6,0.1543902784717049,0.08748620587290505
12,10.0%,0.65,0.13948981313192432,0.07457407976234659
13,100.0%,0.05,0.06624700936863068,0.0680000148349977
14,100.0%,0.1,0.10699702023220423,0.10001676632195082
15,100.0%,0.15,0.15149076709667303,0.12817934794101274
16,100.0%,0.2,0.19846057423423402,0.14356053683280987
17,100.0%,0.25,0.24500569410429213,0.15832127558739723
18,100.0%,0.3,0.30213516239656985,0.18170791827911817
19,100.0%,0.35,0.36621291061013306,0.19831086741468376
20,100.0%,0.4,0.42730400318811634,0.2179813324118378
21,100.0%,0.45,0.47275961168944236,0.21960084318688153
22,100.0%,0.5,0.5423903309715393,0.2301485939295953
23,100.0%,0.55,0.6027440288007485,0.21591551238365275
24,100.0%,0.6,0.6469301295012508,0.2080887937496739
25,100.0%,0.65,0.6821991564271719,0.19150322133475722
26,20.0%,0.05,0.017772255769301068,0.03436026596703538
27,20.0%,0.1,0.03140014191669471,0.04192960837013753
28,20.0%,0.15,0.0492972893295413,0.05913451201029568
29,20.0%,0.2,0.06473977826579302,0.061222063984915025
30,20.0%,0.25,0.084067278816802,0.07958831532770481
31,20.0%,0.3,0.11670931220247587,0.09280746953186378
32,20.0%,0.35,0.15341721022127988,0.11271138200339657
33,20.0%,0.4,0.18847085578660014,0.11623373551660751
34,20.0%,0.45,0.22247895410473997,0.13419230852427325
35,20.0%,0.5,0.26583543815722144,0.15023806932621964
36,20.0%,0.55,0.29940515227180337,0.14346272367288637
37,20.0%,0.6,0.3018574523896947,0.1384745458485061
38,20.0%,0.65,0.2838881311254386,0.14291255613731613
39,30.0%,0.05,0.023306355227952272,0.039886425744283645
40,30.0%,0.1,0.04362859764289548,0.05323101292462168
41,30.0%,0.15,0.06772936110006528,0.0737336991535217
42,30.0%,0.2,0.09201675676731706,0.08576717401364681
43,30.0%,0.25,0.11672511833540802,0.107077951687456
44,30.0%,0.3,0.15815667131379343,0.12401436134300012
45,30.0%,0.35,0.21199749945635263,0.14387858435745204
46,30.0%,0.4,0.25539486208629625,0.16219552526553183
47,30.0%,0.45,0.2901813274046143,0.16236653843378776
48,30.0%,0.5,0.34794431603685394,0.18851867443085693
