,noise_proportion_corrected(beta),mean,std
0,10.0%,0.056249145299145306,0.07912318100466989
1,100.0%,0.2815373931623932,0.28653681271871495
2,20.0%,0.11776367521367521,0.15440937297126012
3,30.0%,0.16971260683760683,0.2201363119139619
4,40.0%,0.2022602564102564,0.25683309715936525
5,50.0%,0.22039401709401713,0.26805802828012487
6,60.0%,0.23393076923076925,0.27242968962958397
7,70.0%,0.24623824786324786,0.27513841136013234
8,80.0%,0.2579480769230769,0.27820717915538284
9,90.0%,0.26941773504273503,0.2818365608751784
