,noise_proportion_corrected(beta),mean,std
0,10.0%,0.13162904560170943,0.16255784563105002
1,100.0%,0.6137966841111111,0.3462482981331513
2,20.0%,0.2484140456083333,0.23383203030384364
3,30.0%,0.3397555187444444,0.28276672124448765
4,40.0%,0.402612220307906,0.3075962697559801
5,50.0%,0.4467967339160256,0.311902449605407
6,60.0%,0.48212705354700863,0.31406921081330585
7,70.0%,0.5168991880397437,0.3160687348194045
8,80.0%,0.5483038715961538,0.32279722709612946
9,90.0%,0.57977129906453,0.3332888836949956
