,noise_proportion_corrected(beta),mean,std
0,10.0%,0.03413504273504274,0.057057233907605635
1,100.0%,0.17278931623931623,0.17468160774944425
2,20.0%,0.06160213675213675,0.08387794375134568
3,30.0%,0.0857517094017094,0.10895886723438422
4,40.0%,0.10234102564102564,0.12409034082761833
5,50.0%,0.11541923076923077,0.1327477673353228
6,60.0%,0.1274957264957265,0.13996512604455316
7,70.0%,0.13778760683760685,0.1470612378347227
8,80.0%,0.14891709401709402,0.15504676012608015
9,90.0%,0.1602491452991453,0.16392994686762283
