,noise_proportion_corrected(beta),mean,std
0,10.0%,0.08402612256923077,0.11669833015595317
1,100.0%,0.4066849901965812,0.2706098044641053
2,20.0%,0.1479085292888889,0.15470278444353291
3,30.0%,0.20168745516837605,0.1892663593030217
4,40.0%,0.23926096124188034,0.20712647500063158
5,50.0%,0.27011513156495726,0.216914483861953
6,60.0%,0.29842680658888887,0.2253152437952396
7,70.0%,0.3221468618094017,0.23334408830845174
8,80.0%,0.34809396760085476,0.24400627991529164
9,90.0%,0.37528576951965814,0.2563175599337988
