,noise_proportion_corrected(beta),mean,std
0,10.0%,0.054785838822161925,0.07070137955630676
1,100.0%,0.25478462805114294,0.28120676173095743
2,20.0%,0.11501985664471132,0.13921544273958933
3,30.0%,0.16992439945757454,0.2006802448296826
4,40.0%,0.2097796881053855,0.24364824515895778
5,50.0%,0.23088071483920955,0.2656304354237596
6,60.0%,0.2404223169314219,0.27409372814849997
7,70.0%,0.24550033901588528,0.27753900679966015
8,80.0%,0.24903806664083683,0.2792083332887391
9,90.0%,0.25180821387059277,0.2802432210305744
