,noise_proportion_corrected(beta),mean,std
0,10.0%,0.15132042684358268,0.3183660743705316
1,100.0%,0.697512774238679,0.34977527891869015
2,20.0%,0.30179092646271494,0.3627998066990853
3,30.0%,0.4214733137558736,0.3603774312230265
4,40.0%,0.5086465003966325,0.3641638444870597
5,50.0%,0.5584601054420628,0.3791178332455015
6,60.0%,0.5916779417556289,0.37609591640468754
7,70.0%,0.6102851701837612,0.3772793685145982
8,80.0%,0.6290599744132658,0.37292715435506335
9,90.0%,0.6426405897907689,0.3788040033523043
