,noise_proportion_corrected(beta),mean,std
0,10.0%,0.03445205128205125,0.04703003923508902
1,100.0%,0.1511327179487179,0.18400616090556077
2,20.0%,0.06698687179487176,0.08691438331866837
3,30.0%,0.09446143589743586,0.12163493863422556
4,40.0%,0.11373230769230766,0.14755241471093206
5,50.0%,0.12538399999999997,0.16235829273083346
6,60.0%,0.13360923076923073,0.17226663302775266
7,70.0%,0.1390090256410256,0.17685870107024085
8,80.0%,0.14324897435897432,0.18089042564993776
9,90.0%,0.14668451282051276,0.18281367885400435
